feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
random20_high_class_mean_00,True,spatial,1,clean,10,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,11,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,12,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,13,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,14,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,15,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,16,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,17,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,18,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,19,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,20,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,21,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,22,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,mild,23,1,1,1,1,1,1,0.4197097420692444,0.3615978956222534,0.06338712573051453,0.05145237222313881,0.7938144329896907,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,24,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,25,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,26,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,27,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,clean,28,1,1,1,1,1,1,0.34849220514297485,0.2635507881641388,0.05919075012207031,0.10000000149011612,0.8,0,0,0
random20_high_class_mean_00,True,spatial,1,strong,29,1,1,1,0,1,0,0.20031434297561646,0.16903740167617798,0.03648378327488899,0.026291614398360252,0.7894736842105263,0,-1,-1
random20_high_class_mean_00,True,spatial,1,strong,30,1,1,1,0,1,0,0.20031434297561646,0.16903740167617798,0.03648378327488899,0.026291614398360252,0.7894736842105263,0,-1,-1
