feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,std_low_progress,std_high_progress,direction,adjusted_p,significant,composite_score
4348,1112276.0,0.002666305983439088,0.006016042780748632,0.006016042780748632,0.0,0.00017409042629878968,0.0,0.0022536732722073793,higher_in_low_progress,0.005804770318112181,True,0.013453164864234137
14706,1112276.0,0.002666305983439088,0.006016042780748632,0.006016042780748632,0.0,0.0001882263459265232,0.0,0.002678338438272476,higher_in_low_progress,0.005804770318112181,True,0.013453164864234137
3331,1112276.0,0.002666305983439088,0.006016042780748632,0.006016042780748632,0.0,0.00015521781460847706,0.0,0.0020107144955545664,higher_in_low_progress,0.005804770318112181,True,0.013453164864234137
15433,1112276.0,0.002666305983439088,0.006016042780748632,0.006016042780748632,0.0,0.000271872355369851,0.0,0.003638369496911764,higher_in_low_progress,0.005804770318112181,True,0.013453164864234137
9821,1110789.0,0.007540998514741659,0.007344898338528361,0.007344898338528361,6.397516699507833e-05,0.000232958875130862,0.0014889154117554426,0.002421665471047163,higher_in_low_progress,0.014899809040156576,True,0.013417802023612927
8383,1127995.0,0.013823608867824078,-0.008031220509594261,0.008031220509594261,0.0002492155763320625,8.186262857634574e-05,0.002267619362100959,0.0013082952937111259,higher_in_high_progress,0.025821776931302526,True,0.012753689602181057
10871,1127968.0,0.014111286960542202,-0.008007091995767768,0.008007091995767768,0.0003336372028570622,0.00011762496433220804,0.0030444548465311527,0.0018681654473766685,higher_in_high_progress,0.025821776931302526,True,0.012715373187442175
13064,1106933.0,0.041426949203014374,0.010790807572421235,0.010790807572421235,0.0005606139311566949,0.0010408966336399317,0.004560219589620829,0.006526244338601828,higher_in_low_progress,0.06746674584490912,False,0.012635067050623993
15000,1131031.0,0.04231090471148491,-0.010744337842088614,0.010744337842088614,0.0023797007743269205,0.0012674363097175956,0.015080520883202553,0.01022969838231802,higher_in_high_progress,0.06884672297777086,False,0.01248617472485894
10662,1132163.5,0.05712367594242096,-0.011756394949812732,0.011756394949812732,0.0007453710422851145,0.0005266257794573903,0.003902758937329054,0.0034227026626467705,higher_in_high_progress,0.08761676992938687,False,0.012431362049370231
5657,1127259.0,0.011145249009132385,-0.007373495095656102,0.007373495095656102,0.0004144007689319551,7.196830119937658e-05,0.0042810761369764805,0.001424026908352971,higher_in_high_progress,0.021111997367752284,True,0.01235407481930261
1213,1126496.0,0.007337799295783043,-0.006691641167891671,0.006691641167891671,0.0002234770799987018,2.7295720428810455e-05,0.00256339437328279,0.0007477717590518296,higher_in_high_progress,0.014574868506196308,True,0.012288498756279282
15162,1111526.0,0.007385051343590021,0.006686279275930129,0.006686279275930129,4.399350655148737e-05,0.00029867052217014134,0.0013481691712513566,0.003551902249455452,higher_in_low_progress,0.014637809881235858,True,0.012266139119350643
7127,1126485.0,0.007424631156027317,-0.0066818110326289926,0.0066818110326289926,0.0002571992517914623,4.362290201243013e-05,0.0029514862690120935,0.0011999279959127307,higher_in_high_progress,0.014700769688934088,True,0.01224548731446558
14288,1127223.0,0.011502949520945549,-0.007341323743887518,0.007341323743887518,0.0003005712351296097,8.043920388445258e-05,0.003499432001262903,0.001557398703880608,higher_in_high_progress,0.02168040886663184,True,0.012215467403789983
238,1130200.0,0.03815673291683197,-0.010001715805427747,0.010001715805427747,0.0010194056667387486,0.0006849947385489941,0.007765770424157381,0.006879722699522972,higher_in_high_progress,0.0623027904657647,False,0.012056993404443758
1068,1129431.0,0.030398882925510406,-0.009314499985701552,0.009314499985701552,0.00040401716250926256,0.00021187076345086098,0.0029350826516747475,0.0021933168172836304,higher_in_high_progress,0.05109946271928961,False,0.012030456040273994
5655,1109328.0,0.023527717217803,0.00865051903114189,0.00865051903114189,0.0002638724399730563,0.00046716659562662244,0.0034037099685519934,0.0038504477124661207,higher_in_low_progress,0.04101541805995129,True,0.011998727140439928
6393,1109216.0,0.02606181986629963,0.008750607681088929,0.008750607681088929,0.00015377334784716368,0.00039251745329238474,0.0018121824832633138,0.0031335284002125263,higher_in_low_progress,0.04416421907072937,True,0.011856456004609604
10709,1131330.5,0.05882575362920761,-0.011011985615831055,0.011011985615831055,0.0012288573198020458,0.0006765008438378572,0.00688472343608737,0.004755460191518068,higher_in_high_progress,0.08923487304559638,False,0.01155669777777492
1109,1128699.0,0.027641627937555313,-0.008660349166404568,0.008660349166404568,0.00042228662641718984,0.00020124159345868975,0.003323933808133006,0.002351208357140422,higher_in_high_progress,0.04671509627182529,True,0.0115229648114925
6973,1127268.0,0.015620582737028599,-0.007381537933598414,0.007381537933598414,0.00031277991365641356,7.562275277450681e-05,0.003037679009139538,0.0013086500111967325,higher_in_high_progress,0.028306662936754136,True,0.011427442481637434
15129,1127264.0,0.015670912340283394,-0.007377963338957461,0.007377963338957461,0.00036322858068160713,7.884129445301369e-05,0.003590489737689495,0.001385372132062912,higher_in_high_progress,0.028370535237798908,True,0.011414686649616878
8189,1125745.0,0.006528831087052822,-0.006020511024049879,0.006020511024049879,0.00022507880930788815,1.9101265934295952e-05,0.002760837785899639,0.0007385548087768257,higher_in_high_progress,0.01309246404557181,True,0.011336493480043633
4350,1112272.0,0.00653680507093668,0.006019617375389585,0.006019617375389585,1.2368635907478165e-05,0.00016224276623688638,0.00047823615022934973,0.002035760087892413,higher_in_low_progress,0.013094494503122358,True,0.011334405350979576
6769,1112275.0,0.006560788955539465,0.006016936429408926,0.006016936429408926,1.3753433449892327e-05,0.0001503306266386062,0.0005317796021699905,0.001852300832979381,higher_in_low_progress,0.013128557473797589,True,0.011322568626299746
7659,1125740.0,0.006568797864019871,-0.006016042780748743,0.006016042780748743,0.0001545869599794969,1.534180046292022e-05,0.0019145951373502612,0.0005931941559538245,higher_in_high_progress,0.013130615071436107,True,0.011320477519902833
12270,1101787.0,0.13505055010318756,0.015389523578026254,0.015389523578026254,0.002765822224318981,0.0028946297243237495,0.009973186999559402,0.009646634571254253,higher_in_low_progress,0.1859663870747407,False,0.011243055699317534
14946,1111524.5,0.012166040018200874,0.006687619748920515,0.006687619748920515,6.599835614906624e-05,0.0002897537488024682,0.0016989944269880652,0.0032423383090645075,higher_in_low_progress,0.022884321274235845,True,0.010970785826325562
1536,1132190.0,0.08010222762823105,-0.011780076639309023,0.011780076639309023,0.0015975871356204152,0.0008513596258126199,0.009600632824003696,0.0051866816356778145,higher_in_high_progress,0.11851103128378902,False,0.010911192589031822
73,1113024.0,0.004632946569472551,0.005347593582887722,0.005347593582887722,0.0,0.00017530207696836442,0.0,0.0024022029247134924,higher_in_low_progress,0.009451813988262331,True,0.010826122106271357
14850,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.0001712167722871527,0.0,0.002344692125916481,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
408,1124992.0,0.004632946569472551,-0.005347593582887722,0.005347593582887722,0.00018300344527233392,0.0,0.002827658085152507,0.0,higher_in_high_progress,0.009451813988262331,True,0.010826122106271357
