episode_id,suite,success,reward_positive,object_lift,semantic_any,first_success_stage,reward_sum,eef_displacement,eef_path_length,object_motion,f10609,f11471,f1972,f9215,f11070,f3154,f11183,f9998,f15966,f1528,f5981,f15118,f14915,f1457,f8150,f13328,f15790,f15872,f3212,f15030
chunk_01_rollout_000034,object,0,0,1,1,,0.0,0.3048552870750427,1.0885002613067627,0.2086612582206726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000035,goal,1,1,1,1,1.0,1.0,0.3109685182571411,0.7811617851257324,0.25877293944358826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000036,spatial,1,1,1,1,1.0,1.0,0.3955289125442505,0.9124346971511841,0.26166197657585144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000037,long,0,0,1,1,,0.0,0.36676374077796936,1.6001358032226562,0.2830860912799835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000038,spatial,1,1,1,1,1.0,1.0,0.4388158321380615,0.8609172105789185,0.17638206481933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000039,spatial,1,1,1,1,1.0,1.0,0.381779283285141,0.7553924322128296,0.1528846174478531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000040,long,1,1,1,1,1.0,1.0,0.31013068556785583,1.8103474378585815,0.4450109302997589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000041,spatial,1,1,1,1,1.0,1.0,0.42413094639778137,0.8197978138923645,0.22811076045036316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000042,object,1,1,1,1,1.0,1.0,0.3010961711406708,1.070540189743042,0.4037230908870697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000043,object,0,0,0,0,,0.0,0.27088412642478943,0.8914749622344971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000044,goal,1,1,0,1,1.0,1.0,0.28948330879211426,0.6982796788215637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_01_rollout_000045,long,0,0,0,0,,0.0,0.3992948532104492,0.5959577560424805,0.07928008586168289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
