feature_set,is_random_control,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high,success_wilcoxon_p,any_violation_wilcoxon_p,result_file
submitted20_goal1_all_alpha1p0_start20_n160,False,160,0.8875,0.8875,0.0,1.0,1.0,0.0,0.2512669858522713,0.1995552190579474,0.042745425808243455,0.0509905761689879,0.0,0.0,0.0,0.0,0.24351060390472412,0.259279727935791,,,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160/submitted20_goal1_all_alpha1p0_start20_n160_submitted20_goal1_all_alpha1p0_start20_n160.json
submitted20_goal1_all_alpha1p0_start20_n160_random00,True,160,0.8875,1.0,0.1125,1.0,0.66875,-0.33125,0.22675816649571062,0.1772193313576281,0.03823901766445488,0.050751351763028654,0.06875000149011612,0.16249999403953552,-0.40625,-0.2562499940395355,0.21965810656547546,0.23370762169361115,2.209049699858536e-05,3.335483664057865e-13,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random00/submitted20_goal1_all_alpha1p0_start20_n160_random00_submitted20_goal1_all_alpha1p0_start20_n160_random00.json
submitted20_goal1_all_alpha1p0_start20_n160_random01,True,160,0.8875,1.0,0.1125,1.0,0.8375,-0.1625,0.20075538526289166,0.1616061868611723,0.03835572764510289,0.03589799511246383,0.0625,0.16249999403953552,-0.21875,-0.10625000298023224,0.18889407813549042,0.212601438164711,2.209049699858536e-05,3.414173577297533e-07,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random01/submitted20_goal1_all_alpha1p0_start20_n160_random01_submitted20_goal1_all_alpha1p0_start20_n160_random01.json
submitted20_goal1_all_alpha1p0_start20_n160_random02,True,160,0.8875,1.0,0.1125,1.0,1.0,0.0,0.19607433934579604,0.15288193514570594,0.038145769882248715,0.03845125939697027,0.06875000149011612,0.16249999403953552,0.0,0.0,0.18280677497386932,0.20838406682014465,2.209049699858536e-05,,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random02/submitted20_goal1_all_alpha1p0_start20_n160_random02_submitted20_goal1_all_alpha1p0_start20_n160_random02.json
submitted20_goal1_all_alpha1p0_start20_n160_random03,True,160,0.8875,0.8875,0.0,1.0,0.50625,-0.49375,0.18634648486040534,0.15096567063592375,0.03604700840078294,0.03428939909208566,0.0,0.0,-0.5687500238418579,-0.41874998807907104,0.17363853752613068,0.19876736402511597,,6.210993425425191e-19,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random03/submitted20_goal1_all_alpha1p0_start20_n160_random03_submitted20_goal1_all_alpha1p0_start20_n160_random03.json
submitted20_goal1_all_alpha1p0_start20_n160_random04,True,160,0.8875,0.8875,0.0,1.0,0.45,-0.55,0.22393570421263576,0.177572332136333,0.036301075504161416,0.05130200674757361,0.0,0.0,-0.625,-0.46875,0.2078571319580078,0.24061323702335358,,6.545446540951172e-21,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random04/submitted20_goal1_all_alpha1p0_start20_n160_random04_submitted20_goal1_all_alpha1p0_start20_n160_random04.json
submitted20_goal1_all_alpha1p0_start20_n160_random05,True,160,0.8875,0.8875,0.0,1.0,0.50625,-0.49375,0.2018138889223337,0.1548720599617809,0.0385825699660927,0.044590816053096206,0.0,0.0,-0.574999988079071,-0.41874998807907104,0.19435201585292816,0.2091427594423294,,6.210993425425191e-19,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random05/submitted20_goal1_all_alpha1p0_start20_n160_random05_submitted20_goal1_all_alpha1p0_start20_n160_random05.json
submitted20_goal1_all_alpha1p0_start20_n160_random06,True,160,0.8875,1.0,0.1125,1.0,0.66875,-0.33125,0.2482944685034454,0.20299107041209935,0.041532270098105076,0.0421170374029316,0.06875000149011612,0.16249999403953552,-0.40625,-0.2562499940395355,0.23895588517189026,0.25744473934173584,2.209049699858536e-05,3.335483664057865e-13,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random06/submitted20_goal1_all_alpha1p0_start20_n160_random06_submitted20_goal1_all_alpha1p0_start20_n160_random06.json
submitted20_goal1_all_alpha1p0_start20_n160_random07,True,160,0.8875,0.8875,0.0,1.0,0.50625,-0.49375,0.20638267183676362,0.17667893096804618,0.03503752499818802,0.0300010489532724,0.0,0.0,-0.574999988079071,-0.41874998807907104,0.19328264892101288,0.21937894821166992,,6.210993425425191e-19,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p0_start20_n160_random07/submitted20_goal1_all_alpha1p0_start20_n160_random07_submitted20_goal1_all_alpha1p0_start20_n160_random07.json
submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128,False,128,0.8828125,1.0,0.1171875,1.0,0.5078125,-0.4921875,0.2505687811644748,0.16605805477593094,0.03674294054508209,0.08994322823127732,0.0625,0.171875,-0.578125,-0.40625,0.23554731905460358,0.26531752943992615,0.00010751117672950055,2.0670658180782593e-15,/work/joy/safesae-vla-eccv-rebuttal-run/results/eccv_calibrated_positive_batch/submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128/submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128_submitted20_goal1_all_alpha1p5_pulse0_40_latch0_n128.json
