feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,51,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,52,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,53,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,54,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,55,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,56,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,57,1,1,1,0,1,0,0.13430003821849823,0.11427593231201172,0.025683872401714325,0.027397260069847107,0.7849462365591398,0,-1,-1
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,mild,58,1,1,1,1,1,1,0.21321912109851837,0.14878544211387634,0.03591229394078255,0.08349025994539261,0.7777777777777778,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,59,1,1,1,1,1,1,0.08707830309867859,0.08104977011680603,0.020513856783509254,0.0,0.7530864197530864,0,0,0
robust20_goal1_all_alpha1p0_start20_n128,False,goal,1,clean,60,1,1,1,0,1,0,0.1996445506811142,0.16260536015033722,0.036704134196043015,0.0317460335791111,0.7590361445783133,0,-1,-1
