group_col,group,method,high_episode,low_episode,progress_gap,score_delta_high_minus_low,correct
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000213,0.25340313857241326,-0.20956671237945557,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000213,0.25340313857241326,0.21986734867095947,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000213,0.25340313857241326,-0.009414494037628174,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000213,0.25340313857241326,-0.09448379278182983,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000383,rollout_000213,0.25340313857241326,-0.007902741432189941,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000383,rollout_000213,0.25340313857241326,-0.006632030010223389,0.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000213,0.295943815004967,-0.2021714150905609,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000213,0.295943815004967,0.2501344680786133,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000213,0.295943815004967,-0.17071235179901123,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000213,0.295943815004967,-0.14541810750961304,0.0
task_key,goal:5,full_sae_ridge,rollout_000607,rollout_000213,0.20094933380918445,-0.08253955841064453,0.0
task_key,goal:5,motion_ridge,rollout_000607,rollout_000213,0.20094933380918445,0.15561819076538086,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000607,rollout_000213,0.20094933380918445,-0.140438973903656,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000607,rollout_000213,0.20094933380918445,-0.2012462019920349,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000607,rollout_000213,0.20094933380918445,-0.01302635669708252,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000607,rollout_000213,0.20094933380918445,-0.007910490036010742,0.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000213,0.30584088492941697,0.0021740198135375977,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000213,0.30584088492941697,0.25043296813964844,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000213,0.30584088492941697,0.013742566108703613,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000213,0.30584088492941697,-0.15300202369689941,0.0
task_key,goal:5,full_sae_ridge,rollout_000352,rollout_000269,0.25276926236181,0.14063268899917603,1.0
task_key,goal:5,motion_ridge,rollout_000352,rollout_000269,0.25276926236181,0.21130025386810303,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000352,rollout_000269,0.25276926236181,-0.056504786014556885,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000352,rollout_000269,0.25276926236181,-0.014488905668258667,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000352,rollout_000269,0.25276926236181,-0.009303569793701172,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000352,rollout_000269,0.25276926236181,-0.004978179931640625,0.0
task_key,goal:5,full_sae_ridge,rollout_000383,rollout_000269,0.42138158772125694,-0.017329096794128418,0.0
task_key,goal:5,motion_ridge,rollout_000383,rollout_000269,0.42138158772125694,0.35542070865631104,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000383,rollout_000269,0.42138158772125694,0.03805124759674072,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000383,rollout_000269,0.42138158772125694,0.033215075731277466,1.0
task_key,goal:5,robust20_sae_ridge,rollout_000383,rollout_000269,0.42138158772125694,-0.007902741432189941,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000383,rollout_000269,0.42138158772125694,-0.006632030010223389,0.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000269,0.4639222641538107,-0.009933799505233765,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000269,0.4639222641538107,0.38568782806396484,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000269,0.4639222641538107,-0.12324661016464233,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000269,0.4639222641538107,-0.017719238996505737,0.0
task_key,goal:5,full_sae_ridge,rollout_000607,rollout_000269,0.36892778295802814,0.10969805717468262,1.0
task_key,goal:5,motion_ridge,rollout_000607,rollout_000269,0.36892778295802814,0.2911715507507324,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000607,rollout_000269,0.36892778295802814,-0.09297323226928711,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000607,rollout_000269,0.36892778295802814,-0.07354733347892761,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000607,rollout_000269,0.36892778295802814,-0.01302635669708252,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000607,rollout_000269,0.36892778295802814,-0.007910490036010742,0.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000269,0.47381933407826066,0.19441163539886475,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000269,0.47381933407826066,0.385986328125,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000269,0.47381933407826066,0.06120830774307251,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000269,0.47381933407826066,-0.025303155183792114,0.0
task_key,goal:5,full_sae_ridge,rollout_000703,rollout_000269,0.3527096543412393,0.051498591899871826,1.0
task_key,goal:5,motion_ridge,rollout_000703,rollout_000269,0.3527096543412393,0.2998507022857666,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000703,rollout_000269,0.3527096543412393,-0.02313929796218872,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000703,rollout_000269,0.3527096543412393,-0.02029317617416382,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000703,rollout_000269,0.3527096543412393,-0.009303569793701172,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000703,rollout_000269,0.3527096543412393,-0.004978179931640625,0.0
task_key,goal:5,full_sae_ridge,rollout_000352,rollout_000550,0.2550323226342178,-0.14637070894241333,0.0
task_key,goal:5,motion_ridge,rollout_000352,rollout_000550,0.2550323226342178,0.22087180614471436,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000352,rollout_000550,0.2550323226342178,0.007548272609710693,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000352,rollout_000550,0.2550323226342178,-0.06660926342010498,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000352,rollout_000550,0.2550323226342178,-0.0014008283615112305,0.0
task_key,goal:5,submitted20_sae_ridge,rollout_000352,rollout_000550,0.2550323226342178,0.0016538500785827637,1.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000352,0.2111530017920007,-0.1505664885044098,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000352,0.2111530017920007,0.17438757419586182,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000352,0.2111530017920007,-0.06674182415008545,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000352,0.2111530017920007,-0.0032303333282470703,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000597,rollout_000352,0.2111530017920007,0.009303569793701172,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000597,rollout_000352,0.2111530017920007,0.004978179931640625,1.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000352,0.22105007171645064,0.05377894639968872,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000352,0.22105007171645064,0.17468607425689697,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000352,0.22105007171645064,0.1177130937576294,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000352,0.22105007171645064,-0.010814249515533447,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000677,rollout_000352,0.22105007171645064,0.009303569793701172,1.0
