dictionary,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,freq_low_progress,freq_high_progress,direction,adjusted_p,significant,composite_score
16K_d16384_k32,15844,10476.0,5.770454169596294e-18,0.40084074465955566,0.40084074465955566,0.0003120559558738023,0.0023183233570307493,0.06417112299465241,0.46524064171123,higher_in_high_progress,2.309409424044815e-16,True,6.267745929598348
16K_d16384_k32,4101,10358.0,1.603065895956534e-17,0.4075895793417027,0.4075895793417027,0.0008319069165736437,0.0017948095919564366,0.08021390374331551,0.49732620320855614,higher_in_high_progress,6.030733900588481e-16,True,6.203362521721971
32K_d32768_k48,26309,29839.0,3.0135765124690927e-40,-0.6884902670891806,0.6884902670891806,0.011444561183452606,0.00034494552528485656,0.7127659574468085,0.03723404255319149,higher_in_low_progress,6.3164563701352184e-37,True,24.923021668025658
32K_d32768_k48,20140,5413.0,1.4544496362686836e-38,0.6936962426437302,0.6936962426437302,0.000577499798964709,0.011053251102566719,0.09042553191489362,0.7446808510638298,higher_in_high_progress,1.5242632188095805e-35,True,24.152380479145254
32K_d32768_k48,24630,29979.5,1.3670147158999009e-37,-0.6964406971480308,0.6964406971480308,0.012863452546298504,0.0007499837665818632,0.7606382978723404,0.13297872340425532,higher_in_low_progress,9.550876148420641e-35,True,23.692882421432877
32K_d32768_k48,6052,7060.0,1.1759686124275993e-31,0.6004979628791308,0.6004979628791308,0.0003747464797925204,0.006495354231446981,0.07446808510638298,0.648936170212766,higher_in_high_progress,6.16207552912062e-29,True,16.940211458435257
32K_d32768_k48,23147,7072.0,3.329815971789884e-31,0.5998189225894069,0.5998189225894069,0.0006278560031205416,0.007857258431613445,0.0797872340425532,0.6595744680851063,higher_in_high_progress,1.3958588553743194e-28,True,16.708051156375944
32K_d32768_k48,9440,6519.0,1.2610680985058192e-28,0.6311113626075147,0.6311113626075147,0.0011491820914670825,0.005392835475504398,0.3191489361702128,0.7819148936170213,higher_in_high_progress,2.643198734468197e-26,True,16.14248450334609
32K_d32768_k48,1269,7257.5,1.4993670162788608e-30,0.5893220914440924,0.5893220914440924,0.00046759730321355164,0.006555947940796614,0.0797872340425532,0.6436170212765957,higher_in_high_progress,5.237788776867487e-28,True,16.07720876836342
32K_d32768_k48,6296,7136.5,4.961364460101757e-30,0.5961690810321412,0.5961690810321412,0.002278334926813841,0.019197409972548485,0.10106382978723404,0.675531914893617,higher_in_high_progress,1.2998774885466603e-27,True,16.028660085229905
32K_d32768_k48,31767,27827.0,1.9038957657740125e-30,-0.5746378451788139,0.5746378451788139,0.006270422134548426,0.00017695884162094444,0.6063829787234043,0.06382978723404255,higher_in_low_progress,5.700807892946186e-28,True,15.655469997397422
