target,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_burden,mean_high_burden,freq_low_burden,freq_high_burden,direction,adjusted_p,significant,composite_score
total_burden_rate_within_suite_q25_q75,498,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.37913536693668e-05,2.7012220016331412e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,434,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.329154267499689e-05,2.3493390472140163e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,406,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.2867008738103323e-05,2.231598955404479e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,528,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.2825674022897147e-05,1.8333837942918763e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,524,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.5058692699531093e-05,2.340370338060893e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,4005,17862.5,0.9930602405610763,-0.00013997760358352984,0.00013997760358352984,6.237988418433815e-05,6.47644919808954e-05,0.015957446808510637,0.015789473684210527,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5538,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.1493851818377152e-05,2.0637915440602228e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,5536,17867.0,0.9804171319742605,-0.0003919372900336171,0.0003919372900336171,0.00010695240780478343,0.00010130041482625529,0.02127659574468085,0.021052631578947368,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,327,17862.0,0.9936423268955563,-0.00011198208286677946,0.00011198208286677946,4.5024244172964245e-05,4.37975068052765e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3409,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.81609284481965e-05,1.8775832359096967e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,6719,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.2455351427197456e-05,2.9965351131977513e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,6714,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.8942431779578328e-05,2.907147427322343e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3063,17861.5,0.9965300874677292,-8.398656215002909e-05,8.398656215002909e-05,6.051278978702612e-05,9.576496086083353e-05,0.015957446808510637,0.015789473684210527,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,14864,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.1270214347168803e-05,7.684458250878379e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,14849,17864.0,0.9851661270842238,-0.00022396416573355893,0.00022396416573355893,4.984675251762383e-05,4.212592466501519e-05,0.010638297872340425,0.010526315789473684,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3264,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,0.00015363698184955865,0.00018899825226981193,0.026595744680851064,0.02631578947368421,higher_in_high_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3192,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.248193050036207e-05,1.8979251763084903e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3184,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,2.511894126655534e-05,2.511770071578212e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,4548,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,2.7037220206693746e-05,2.5931421987479553e-05,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,4516,17861.5,0.9940217992387217,-8.398656215002909e-05,8.398656215002909e-05,1.8834220099961385e-05,4.747929779114202e-06,0.005319148936170213,0.005263157894736842,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,7842,17911.0,0.9474221675198259,-0.002855543113101877,0.002855543113101877,0.00623450567945838,0.006181342992931604,0.22340425531914893,0.21052631578947367,higher_in_low_burden,1.0,False,-0.0
total_burden_rate_within_suite_q25_q75,3349,17860.5,1.0,-2.7995520716750377e-05,2.7995520716750377e-05,1.9185121345799416e-05,2.4862771169864573e-05,0.005319148936170213,0.005263157894736842,higher_in_high_burden,1.0,False,-0.0
