target,method,n,positives,negatives,auroc,auroc_ci95_low,auroc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high,mean_pairwise_top20_overlap,fold_selected_features
high_approach_speed_rate_within_suite_q25_q75,motion_with_contact_plus_submitted_top20,376,188,188,0.9991794929832504,0.9975611877219943,1.0,0.9992343866702341,0.9977828312085485,1.0,,
object_drop_rate_within_suite_q25_q75,suite_id_only,145,87,58,0.5172413793103449,0.43604108146067416,0.596483540777782,0.6085612366230678,0.5185777648616974,0.7003134796238244,,
object_drop_rate_within_suite_q25_q75,submitted_top20_sae,145,87,58,0.5172413793103449,0.4382337128399747,0.5965351364904934,0.6085612366230678,0.5210889190556109,0.7023262501369127,,
object_drop_rate_within_suite_q25_q75,nested_train_top20_sae,145,87,58,0.9353943717796275,0.8884145675016418,0.9722297979797979,0.9507986075481222,0.9127159365560401,0.9813543680640989,14.2,"[[1219, 11767, 13808, 8113, 9668, 6072, 12326, 14678, 6549, 2123, 8686, 12782, 3545, 13292, 6147, 15122, 3617, 9402, 4200, 14801], [8113, 13808, 1219, 9668, 11767, 6549, 14678, 4592, 12326, 6072, 14302, 2123, 16008, 7367, 15032, 8686, 12092, 6317, 9626, 15959], [1219, 11767, 8113, 13808, 9668, 6549, 15122, 4592, 6072, 5208, 12326, 14678, 12782, 6147, 3545, 13292, 3617, 9402, 14801, 1521], [1219, 11767, 8113, 9668, 13808, 12326, 6549, 7367, 6072, 15122, 2123, 14302, 4592, 12782, 14678, 12092, 13292, 3545, 6147, 3617], [1219, 8113, 9668, 11767, 13808, 6549, 6072, 12326, 12782, 15122, 6147, 3545, 13292, 3617, 14302, 9402, 2848, 4200, 14801, 1521]]"
object_drop_rate_within_suite_q25_q75,full_sae_ridge,145,87,58,0.9946492271105827,0.9860778241567341,1.0,0.9967266210707243,0.9906008378349741,0.9999999999999999,,
object_drop_rate_within_suite_q25_q75,raw_pca20_lr,145,87,58,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,,
object_drop_rate_within_suite_q25_q75,motion_no_contact,145,87,58,0.7433610780816488,0.6577071948998179,0.8254147150663543,0.8215054911155452,0.7345947287663686,0.8901859114843484,,
object_drop_rate_within_suite_q25_q75,motion_no_contact_plus_submitted_top20,145,87,58,0.7433610780816488,0.6593824323824324,0.8209666433243102,0.8215054911155452,0.7388133754271057,0.8925731642236341,,
object_drop_rate_within_suite_q25_q75,motion_with_contact_upper_bound,145,87,58,0.7471264367816092,0.6632709607606175,0.826469488375621,0.825845218993613,0.7473379726868401,0.8924740878050478,,
object_drop_rate_within_suite_q25_q75,motion_with_contact_plus_submitted_top20,145,87,58,0.7471264367816092,0.663952665657749,0.8234419349945007,0.825845218993613,0.7447057868480527,0.8945902177769229,,
