phase,feature_idx,n_phase_steps,n_other_steps,mean_activation_phase,mean_activation_other,delta_phase_minus_other,ratio_phase_over_other
early_third,8150,8272,15792,0.0005958483154062232,0.003916747881153366,-0.003320899565747143,0.15212833031028883
early_third,9215,8272,15792,0.009467140273812517,0.008751848652232778,0.0007152916215797389,1.0817303463534247
early_third,9998,8272,15792,0.0028419710463363267,0.006696243323631048,-0.0038542722772947216,0.42441275040096116
early_third,10609,8272,15792,0.006597932124586066,0.0060104489916928015,0.0005874831328932647,1.0977436350770533
early_third,11070,8272,15792,0.0038046987886708123,0.006264560447645816,-0.0024598616589750037,0.6073369106208553
early_third,11183,8272,15792,0.0034328825862779203,0.004980774087326086,-0.0015478915010481657,0.6892267198010688
early_third,11471,8272,15792,0.0056961983377231025,0.004927903681457054,0.0007682946562660485,1.155906995332929
early_third,13328,8272,15792,0.003031417301552446,0.0045147570063102434,-0.0014833397047577974,0.6714463917582841
early_third,14915,8272,15792,0.0030351968088531346,0.0035068001236017365,-0.0004716033147486019,0.8655174808582385
early_third,15030,8272,15792,0.005916373277753159,0.00426968512962277,0.0016466881481303893,1.3856696918247635
early_third,15118,8272,15792,0.00421513263514442,0.0034432498516544147,0.0007718827834900049,1.224172748637201
early_third,15790,8272,15792,0.0034238463312718922,0.003941518066744882,-0.0005176717354729897,0.8686618387365377
early_third,15872,8272,15792,0.004609699290096255,0.0032639223698898395,0.0013457769202064158,1.412318911939023
early_third,15966,8272,15792,0.006024907958492046,0.0031519602476303083,0.0028729477108617374,1.9114796777724792
eef_speed_high,1457,5929,18135,0.0033104378842527377,0.003391562714692085,-8.112483043934719e-05,0.9760803979569894
eef_speed_high,1528,5929,18135,0.0033253579620233596,0.003490843571853976,-0.0001654856098306165,0.95259437828584
eef_speed_high,1972,5929,18135,0.004530086643556546,0.005250662399970995,-0.0007205757564144495,0.8627647901303976
eef_speed_high,3154,5929,18135,0.005654999369597994,0.006552711177564929,-0.0008977118079669354,0.8630014686072984
eef_speed_high,3212,5929,18135,0.002984545169579458,0.003470068813389183,-0.000485523643809725,0.8600824162517058
eef_speed_high,5981,5929,18135,0.004864063349546641,0.006577457221564361,-0.0017133938720177199,0.739505128760045
eef_speed_high,8150,5929,18135,0.0020938643880614462,0.002997938673691642,-0.0009040742856301956,0.6984346966254235
eef_speed_high,9215,5929,18135,0.008721039712625082,0.009088190449676485,-0.00036715073705140266,0.9596013376827427
eef_speed_high,9998,5929,18135,0.0057289026408060585,0.005254435914239674,0.0004744667265663841,1.0902983182800965
eef_speed_high,10609,5929,18135,0.005968910372891581,0.0062920008497664446,-0.0003230904768748632,0.9486505986586355
eef_speed_high,11070,5929,18135,0.004937619013282356,0.0055763586346488335,-0.0006387396213664775,0.8854557851789421
eef_speed_high,11183,5929,18135,0.0039003345863081527,0.004627962800028865,-0.0007276282137207127,0.8427756995548508
eef_speed_high,11471,5929,18135,0.00480127689530886,0.0053197483802001145,-0.0005184714848912543,0.90253834432828
eef_speed_high,13328,5929,18135,0.0037726672057757935,0.004080771033859858,-0.00030810382808406454,0.9244986240277637
eef_speed_high,14915,5929,18135,0.0031655826529673006,0.0034032421287735664,-0.0002376594758062658,0.9301667448822069
eef_speed_high,15030,5929,18135,0.00550986584894853,0.004615335688015499,0.0008945301609330309,1.1938169228417839
eef_speed_high,15118,5929,18135,0.003620846231409431,0.003737269451845307,-0.00011642322043587576,0.9688480528535638
eef_speed_high,15790,5929,18135,0.004477877994827445,0.003530034272455712,0.000947843722371733,1.2685083625866198
eef_speed_high,15872,5929,18135,0.003830663865499059,0.0036924890286425503,0.0001381748368565086,1.0374205138552044
eef_speed_high,15966,5929,18135,0.0037145568087739757,0.0042784773942102635,-0.0005639205854362879,0.8681959647141297
eef_speed_low_stall_proxy,1457,6355,17709,0.0032256990550987184,0.003423923346971771,-0.00019822429187305252,0.9421060953223825
eef_speed_low_stall_proxy,1528,6355,17709,0.0034498089868765847,0.0034501642905193776,-3.5530364279282717e-07,0.9998970183409036
eef_speed_low_stall_proxy,1972,6355,17709,0.00518640938202501,0.005032470196530116,0.00015393918549489426,1.0305891896987358
eef_speed_low_stall_proxy,3154,6355,17709,0.006680842940083739,0.0062061749157634166,0.0004746680243203228,1.0764831850154088
eef_speed_low_stall_proxy,3212,6355,17709,0.0034304239301349497,0.003321741609647176,0.00010868232048777361,1.0327184752035297
eef_speed_low_stall_proxy,5981,6355,17709,0.00680208558745735,0.005923200881147454,0.0008788847063098968,1.1483800269390219
eef_speed_low_stall_proxy,8150,6355,17709,0.0033042225344831976,0.002585341103256735,0.0007188814312264627,1.2780605740267283
eef_speed_low_stall_proxy,9215,6355,17709,0.008928031599065574,0.00902274196447995,-9.471036541437543e-05,0.9895031503962738
eef_speed_low_stall_proxy,9998,6355,17709,0.005488097067427016,0.0053294371335804915,0.00015865993384652465,1.0297704860512975
eef_speed_low_stall_proxy,10609,6355,17709,0.00626776553192165,0.0061925266845122015,7.523884740944821e-05,1.0121499431883958
eef_speed_low_stall_proxy,11070,6355,17709,0.0056503073289626985,0.005335970630388489,0.0003143366985742099,1.0589090008824364
eef_speed_low_stall_proxy,11183,6355,17709,0.004715713609909795,0.004352861773661288,0.00036285183624850705,1.0833593748471604
eef_speed_low_stall_proxy,11471,6355,17709,0.005143171555145016,0.005209529185965821,-6.635763082080484e-05,0.9872622595148197
eef_speed_low_stall_proxy,13328,6355,17709,0.004211769379048156,0.003930607722527651,0.00028116165652050575,1.0715313448627988
eef_speed_low_stall_proxy,14915,6355,17709,0.0033011561359281055,0.00336030765774062,-5.915152181251455e-05,0.9823969922288942
eef_speed_low_stall_proxy,15030,6355,17709,0.004054667213294189,0.005116025590382988,-0.0010613583770887986,0.7925424026252095
eef_speed_low_stall_proxy,15118,6355,17709,0.0034857740728323804,0.0037885416783777393,-0.0003027676055453589,0.9200833377989907
eef_speed_low_stall_proxy,15790,6355,17709,0.0031303802446515706,0.003990792461886924,-0.000860412217235353,0.7844006609082013
eef_speed_low_stall_proxy,15872,6355,17709,0.003550153633361253,0.0037898282372220795,-0.0002396746038608264,0.9367584521359452
eef_speed_low_stall_proxy,15966,6355,17709,0.004082295521917913,0.0041600771823048,-7.778166038688653e-05,0.981302832380674
gripper_action_high_abs,1457,18044,6020,0.0035647090753704322,0.0027926852974570373,0.0007720237779133949,1.2764449609185768
gripper_action_high_abs,1528,18044,6020,0.0035151403470200637,0.0032550337393319486,0.00026010660768811507,1.0799090358250782
gripper_action_high_abs,1972,18044,6020,0.005284214770996159,0.004440411130442869,0.0008438036405532898,1.1900282689520085
gripper_action_high_abs,3154,18044,6020,0.006468732301637157,0.005920282859924525,0.0005484494417126321,1.092639060445099
gripper_action_high_abs,3212,18044,6020,0.0033269049723640273,0.003420995501646667,-9.409052928263965e-05,0.9724961552164129
gripper_action_high_abs,5981,18044,6020,0.0061260944712767515,0.006242852105118607,-0.00011675763384185519,0.9812973890978254
gripper_action_high_abs,8150,18044,6020,0.002559972105692718,0.0034202663005140927,-0.0008602941948213749,0.7484715752419436
gripper_action_high_abs,9215,18044,6020,0.009377557390194607,0.00785925792564214,0.0015182994645524667,1.1931861097978171
gripper_action_high_abs,9998,18044,6020,0.005595234652964232,0.004700240030562957,0.0008949946224012751,1.190414663204781
gripper_action_high_abs,10609,18044,6020,0.006434971489060965,0.00554526236923133,0.0008897091198296347,1.1604449096523026
gripper_action_high_abs,11070,18044,6020,0.0055513146978158215,0.005022339628192525,0.0005289750696232968,1.1053244321937001
gripper_action_high_abs,11183,18044,6020,0.004450429398157702,0.004443461973486202,6.967424671499439e-06,1.0015680171706371
gripper_action_high_abs,11471,18044,6020,0.005406493812426181,0.004549108510929782,0.0008573853014963995,1.1884732578782036
gripper_action_high_abs,13328,18044,6020,0.003975420886307139,0.004093095031489566,-0.00011767414518242675,0.9712505709549571
gripper_action_high_abs,14915,18044,6020,0.003547210470793719,0.0027376527939783875,0.0008095576768153315,1.295712326484935
gripper_action_high_abs,15030,18044,6020,0.005049232115303861,0.004195807812630239,0.0008534243026736216,1.2033992834716214
gripper_action_high_abs,15118,18044,6020,0.0038283808753299055,0.003349514003453213,0.00047886687187669247,1.1429660754912505
gripper_action_high_abs,15790,18044,6020,0.0037897069754425417,0.0036852221756529966,0.0001044847997895451,1.0283523746491705
gripper_action_high_abs,15872,18044,6020,0.003928554448627581,0.003121006332548255,0.0008075481160793262,1.258746067785122
gripper_action_high_abs,15966,18044,6020,0.004456773407119747,0.0031886670274344393,0.0012681063796853072,1.3976916902187837
gripper_action_negative,1457,725,23339,4.2067981999495936e-05,0.0034750022177353706,-0.0034329342357358747,0.012105886374631232
gripper_action_negative,1528,725,23339,0.00021021621751374212,0.0035507129172077166,-0.0033404966996939743,0.059203946479304874
gripper_action_negative,1972,725,23339,0.00020423032600304177,0.005224370339207702,-0.00502014001320466,0.03909185466243463
gripper_action_negative,3154,725,23339,0.0029748682831895763,0.006435799689882774,-0.0034609314066931978,0.4622375503492034
gripper_action_negative,3212,725,23339,0.006249405587541646,0.0032603902133888233,0.0029890153741528227,1.9167661471557615
gripper_action_negative,5981,725,23339,0.008368822657342614,0.006086542777580801,0.002282279879761813,1.374971467902661
gripper_action_negative,8150,725,23339,0.008672469327675885,0.0025919962098482894,0.006080473117827596,3.345864972612552
gripper_action_negative,9215,725,23339,0.0,0.009277234597070876,-0.009277234597070876,0.0
gripper_action_negative,9998,725,23339,0.001018621638931077,0.005506549482576399,-0.004487927843645322,0.18498365303974082
