feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,22,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,23,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,24,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,25,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,26,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,27,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,28,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,29,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,30,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,31,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,32,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,33,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,34,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,35,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,36,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,37,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,38,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,39,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,40,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,41,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,42,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,43,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,44,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,45,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,46,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,47,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,48,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,49,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,50,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,51,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,52,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,53,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,54,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,55,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,56,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,57,1,1,1,1,1,1,0.045442163944244385,0.041550155729055405,0.014158610254526138,0.0,0.782608695652174,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,58,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,59,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,60,1,1,1,0,1,0,0.11902239173650742,0.11139830946922302,0.02739425003528595,0.0,0.7560975609756098,0,-1,-1
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,61,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,62,1,1,1,1,1,1,0.05873257666826248,0.05580706521868706,0.01177556999027729,0.0,0.7530864197530864,0,0,0
goal1_top13_lowmean_shuffled_values_02_n64,True,goal,1,clean,63,0,0,1,1,1,1,0.21431367099285126,0.1403745859861374,0.037829719483852386,0.08571428805589676,0.9333333333333333,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,0,0,0,1,1,1,1,0.2845190167427063,0.1594732701778412,0.042096469551324844,0.1428571492433548,0.9333333333333333,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,1,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_start20_n64,False,goal,1,clean,2,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,3,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_start20_n64,False,goal,1,clean,4,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_start20_n64,False,goal,1,clean,5,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_start20_n64,False,goal,1,clean,6,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,7,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
goal1_top13_lowmean_start20_n64,False,goal,1,clean,8,1,1,1,0,1,0,0.18878531455993652,0.1541603058576584,0.03994668275117874,0.032786883413791656,0.7530864197530864,0,-1,-1
goal1_top13_lowmean_start20_n64,False,goal,1,clean,9,0,0,1,1,1,1,0.2845190167427063,0.1594732701778412,0.042096469551324844,0.1428571492433548,0.9333333333333333,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,10,1,1,1,1,1,1,0.20048005878925323,0.16793233156204224,0.04023529589176178,0.028169013559818268,0.7802197802197802,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,11,0,0,1,1,1,1,0.2845190167427063,0.1594732701778412,0.042096469551324844,0.1428571492433548,0.9333333333333333,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,12,0,0,1,1,1,1,0.2845190167427063,0.1594732701778412,0.042096469551324844,0.1428571492433548,0.9333333333333333,0,0,0
goal1_top13_lowmean_start20_n64,False,goal,1,clean,13,1,1,1,0,1,0,0.18844975531101227,0.18108613789081573,0.039960283786058426,0.0,0.7590361445783133,0,-1,-1
