split,method,fold,n_train,n_test,train_groups,test_groups,test_positive_rate,fold_auroc,fold_pr_auc,selected_features
task_heldout,raw_pca20,1,341,35,48,11,0.5428571428571428,0.8651315789473685,0.9136934728124657,
task_heldout,suite_only,2,297,79,46,13,0.43037974683544306,0.6215686274509804,0.5920469453604227,
task_heldout,motion,2,297,79,46,13,0.43037974683544306,1.0,1.0,
task_heldout,motion_suite_task,2,297,79,46,13,0.43037974683544306,1.0,1.0,
task_heldout,fixed_top20_sae,2,297,79,46,13,0.43037974683544306,0.6666666666666667,0.53125,
task_heldout,nested_top20_sae,2,297,79,46,13,0.43037974683544306,0.6676470588235294,0.6699848125762484,"f1215,f9712,f3504,f15198,f1369,f11836,f11644,f4135,f4932,f5678,f1219,f12441,f3236,f6638,f11058,f665,f13576,f13316,f13874,f11911"
task_heldout,full_sae,2,297,79,46,13,0.43037974683544306,0.9359477124183007,0.8972231958996926,
task_heldout,raw_lr,2,297,79,46,13,0.43037974683544306,0.9660130718954248,0.9523705980009415,
task_heldout,raw_pca20,2,297,79,46,13,0.43037974683544306,0.9575163398692811,0.940160120593954,
task_heldout,suite_only,3,266,110,46,13,0.5181818181818182,0.8622972525653757,0.8695573228057522,
task_heldout,motion,3,266,110,46,13,0.5181818181818182,0.9996689837802052,0.9996975196612223,
task_heldout,motion_suite_task,3,266,110,46,13,0.5181818181818182,0.9993379675604105,0.9993897326498342,
task_heldout,fixed_top20_sae,3,266,110,46,13,0.5181818181818182,0.6037735849056604,0.5757575757575758,
task_heldout,nested_top20_sae,3,266,110,46,13,0.5181818181818182,0.8864614366103939,0.8945786967583262,"f1215,f9712,f3504,f15198,f11836,f1369,f4932,f11644,f5678,f665,f12441,f4135,f1219,f6638,f11058,f3236,f13316,f13874,f11911,f13864"
task_heldout,full_sae,3,266,110,46,13,0.5181818181818182,0.9950347567030785,0.9952499962493453,
task_heldout,raw_lr,3,266,110,46,13,0.5181818181818182,0.9801390268123138,0.9761092269094973,
task_heldout,raw_pca20,3,266,110,46,13,0.5181818181818182,0.9930486593843099,0.9933485330940883,
task_heldout,suite_only,4,313,63,49,10,0.5714285714285714,0.8966049382716049,0.8766504599837933,
task_heldout,motion,4,313,63,49,10,0.5714285714285714,0.9917695473251029,0.9937160595393956,
task_heldout,motion_suite_task,4,313,63,49,10,0.5714285714285714,1.0,1.0,
task_heldout,fixed_top20_sae,4,313,63,49,10,0.5714285714285714,0.537037037037037,0.5901639344262295,
task_heldout,nested_top20_sae,4,313,63,49,10,0.5714285714285714,0.9495884773662552,0.9556990861027063,"f9712,f3504,f1215,f1219,f1369,f11836,f5678,f11644,f6629,f4135,f15198,f12441,f4932,f665,f6638,f11058,f13874,f3236,f13316,f2429"
task_heldout,full_sae,4,313,63,49,10,0.5714285714285714,0.9557613168724279,0.9690099628120313,
task_heldout,raw_lr,4,313,63,49,10,0.5714285714285714,0.9814814814814815,0.9866064208244985,
task_heldout,raw_pca20,4,313,63,49,10,0.5714285714285714,0.970164609053498,0.9770937499188832,
instruction_heldout,suite_only,0,284,92,44,13,0.4782608695652174,0.8693181818181818,0.8501206673761021,
instruction_heldout,motion,0,284,92,44,13,0.4782608695652174,1.0,0.9999999999999999,
instruction_heldout,motion_suite_task,0,284,92,44,13,0.4782608695652174,1.0,0.9999999999999999,
instruction_heldout,fixed_top20_sae,0,284,92,44,13,0.4782608695652174,0.6145833333333333,0.5432098765432098,
instruction_heldout,nested_top20_sae,0,284,92,44,13,0.4782608695652174,0.7571022727272728,0.7747035573122529,"f9712,f1215,f3504,f15198,f1369,f11836,f11644,f5678,f4932,f4135,f1219,f12441,f11058,f13316,f6638,f13874,f665,f3236,f13864,f11911"
instruction_heldout,full_sae,0,284,92,44,13,0.4782608695652174,0.9678030303030303,0.9667278694923465,
instruction_heldout,raw_lr,0,284,92,44,13,0.4782608695652174,0.9701704545454545,0.9716957967132818,
instruction_heldout,raw_pca20,0,284,92,44,13,0.4782608695652174,0.9474431818181818,0.9544413352888823,
instruction_heldout,suite_only,1,289,87,47,10,0.7011494252873564,0.6705548549810846,0.798299184189147,
instruction_heldout,motion,1,289,87,47,10,0.7011494252873564,0.9962168978562421,0.9983455158516472,
instruction_heldout,motion_suite_task,1,289,87,47,10,0.7011494252873564,0.9873896595208072,0.9950123904059627,
instruction_heldout,fixed_top20_sae,1,289,87,47,10,0.7011494252873564,0.5384615384615384,0.7176470588235294,
instruction_heldout,nested_top20_sae,1,289,87,47,10,0.7011494252873564,0.8165195460277428,0.9112977958342252,"f3504,f9712,f4932,f15198,f1215,f4135,f1369,f11644,f11836,f6638,f665,f3236,f13874,f12441,f6629,f1219,f13576,f4867,f5678,f7060"
instruction_heldout,full_sae,1,289,87,47,10,0.7011494252873564,0.8959646910466583,0.9401174198161065,
instruction_heldout,raw_lr,1,289,87,47,10,0.7011494252873564,0.8940731399747793,0.9473017039231613,
instruction_heldout,raw_pca20,1,289,87,47,10,0.7011494252873564,0.9344262295081968,0.9706416453705924,
