split,method,fold,n_train,n_test,train_groups,test_groups,fold_spearman,fold_pearson,fold_r2,fold_mae,selected_features
task_heldout,motion_suite_task,2,583,167,96,24,0.9803843260123473,0.9816713288460006,0.9631791710853577,0.030142659321427345,
task_heldout,fixed_top20_sae,2,583,167,96,24,0.31681167737181265,0.35874529847129893,0.12309682369232178,0.17975732684135437,
task_heldout,nested_top20_sae,2,583,167,96,24,0.5930956567607424,0.7489453517577117,0.5401800274848938,0.12021680176258087,"f6629,f9900,f8132,f1462,f11686,f14254,f4823,f12732,f1781,f2178,f6676,f13452,f15371,f15020,f2751,f1642,f10213,f1021,f14707,f14178"
task_heldout,full_sae,2,583,167,96,24,0.7389154565224114,0.7427189638046172,0.37216949462890625,0.13982780277729034,
task_heldout,raw_pca20,2,583,167,96,24,0.8030213239613717,0.798624096650505,0.6234250068664551,0.0984422042965889,
task_heldout,suite_only,3,566,184,96,24,0.6401953839122796,0.6562225391911496,0.36394792795181274,0.12200409173965454,
task_heldout,motion,3,566,184,96,24,0.8417077707115797,0.9373754092754571,0.8677685260772705,0.05549900606274605,
task_heldout,motion_suite_task,3,566,184,96,24,0.9835102227954542,0.9619379825703596,0.920795202255249,0.03051268309354782,
task_heldout,fixed_top20_sae,3,566,184,96,24,0.16279804203793433,0.21011496330138693,0.0240478515625,0.18047146499156952,
task_heldout,nested_top20_sae,3,566,184,96,24,0.5120493214521162,0.4672350545063339,0.13552671670913696,0.14699341356754303,"f6629,f9900,f8132,f1462,f12732,f11686,f4823,f14254,f1642,f13452,f1021,f15020,f10083,f15371,f3399,f2751,f9859,f8857,f785,f5876"
task_heldout,full_sae,3,566,184,96,24,0.6334405361492181,0.5988947974224214,0.3283458352088928,0.12733158469200134,
task_heldout,raw_pca20,3,566,184,96,24,0.6465360391211404,0.6862774727804076,0.35658079385757446,0.12170079350471497,
task_heldout,suite_only,4,633,117,96,24,0.05231179028437248,0.17106619223917074,-1.2482883930206299,0.1723162829875946,
task_heldout,motion,4,633,117,96,24,0.6385991072092069,0.8676993102162591,0.7418645620346069,0.07201677560806274,
task_heldout,motion_suite_task,4,633,117,96,24,0.9634809518385078,0.9797669562681095,0.9543488025665283,0.029284782707691193,
task_heldout,fixed_top20_sae,4,633,117,96,24,0.24792101348641896,0.31467035527561144,-0.169647216796875,0.15258176624774933,
task_heldout,nested_top20_sae,4,633,117,96,24,0.3826544853593831,0.5484654562263457,0.19500160217285156,0.11849340051412582,"f6629,f9900,f8132,f14254,f1462,f8857,f6676,f1781,f13452,f11686,f4823,f15020,f13808,f1021,f12732,f15371,f1642,f9594,f5876,f9090"
task_heldout,full_sae,4,633,117,96,24,0.5188383589572093,0.6619412051312815,-0.1727374792098999,0.12278306484222412,
task_heldout,raw_pca20,4,633,117,96,24,0.5045117274951672,0.7008921743153791,0.2450960874557495,0.10468045622110367,
instruction_heldout,suite_only,0,602,148,82,21,0.7191514780960854,0.6684850691830568,0.33477282524108887,0.12481104582548141,
instruction_heldout,motion,0,602,148,82,21,0.849714079998735,0.95856596113413,0.9154373407363892,0.05403429642319679,
instruction_heldout,motion_suite_task,0,602,148,82,21,0.9866317707609726,0.9789955326023019,0.9576202630996704,0.030060922726988792,
instruction_heldout,fixed_top20_sae,0,602,148,82,21,0.32393087179025276,0.3352784230064566,0.11185169219970703,0.17726074159145355,
instruction_heldout,nested_top20_sae,0,602,148,82,21,0.5719757984386782,0.6700919090141358,0.4427526593208313,0.11570914089679718,"f6629,f9900,f6676,f8132,f11686,f14254,f1462,f15020,f12732,f1781,f4823,f1021,f785,f1642,f5876,f2178,f8857,f4933,f10213,f13452"
instruction_heldout,full_sae,0,602,148,82,21,0.66749896117458,0.6955298576183051,0.4615330696105957,0.1097184270620346,
instruction_heldout,raw_pca20,0,602,148,82,21,0.760820214206649,0.7830866874031734,0.5983134508132935,0.093525730073452,
instruction_heldout,suite_only,1,582,168,82,21,0.39922478571409176,0.5112019740907594,0.25920552015304565,0.1611371487379074,
instruction_heldout,motion,1,582,168,82,21,0.7946603698639293,0.9727069596642985,0.9450872540473938,0.04730112478137016,
instruction_heldout,motion_suite_task,1,582,168,82,21,0.9795581606678451,0.9944328766098695,0.988703727722168,0.018111981451511383,
instruction_heldout,fixed_top20_sae,1,582,168,82,21,0.20240615767810557,0.25951352921641235,0.02732372283935547,0.19339241087436676,
instruction_heldout,nested_top20_sae,1,582,168,82,21,0.4883066725587142,0.7417546839475709,0.48608994483947754,0.1353902518749237,"f9900,f6629,f8132,f8857,f15020,f1462,f6676,f15857,f14254,f5876,f15371,f9859,f13808,f9090,f1021,f3399,f2178,f10213,f1642,f12732"
instruction_heldout,full_sae,1,582,168,82,21,0.7252664373721411,0.8019100963615721,0.592652440071106,0.12215793877840042,
instruction_heldout,raw_pca20,1,582,168,82,21,0.6675448786595618,0.8312389694628477,0.6646695137023926,0.11198163032531738,
instruction_heldout,suite_only,2,644,106,82,21,0.6953013867255178,0.6425543679100716,0.3455389142036438,0.08081287890672684,
instruction_heldout,motion,2,644,106,82,21,0.8417814948232863,0.8522834984438868,0.6935746669769287,0.061327796429395676,
instruction_heldout,motion_suite_task,2,644,106,82,21,0.9617301055495378,0.9477160356707576,0.896626353263855,0.032312337309122086,
instruction_heldout,fixed_top20_sae,2,644,106,82,21,,,-0.30027735233306885,0.12062238901853561,
instruction_heldout,nested_top20_sae,2,644,106,82,21,0.09861198579237726,0.40583185392384835,0.15199869871139526,0.0940198004245758,"f6629,f9900,f8132,f1462,f14254,f11686,f6676,f4823,f15020,f12732,f13452,f1781,f1642,f1021,f8857,f13808,f15371,f785,f5876,f3399"
instruction_heldout,full_sae,2,644,106,82,21,0.6977303070761015,0.6488168390706105,0.28441375494003296,0.07588277757167816,
instruction_heldout,raw_pca20,2,644,106,82,21,0.7438194321989068,0.7103170620265982,0.4315680265426636,0.07034597545862198,
instruction_heldout,suite_only,3,604,146,83,20,0.3714310680923265,0.419140016285509,0.12785309553146362,0.13913515210151672,
instruction_heldout,motion,3,604,146,83,20,0.7749260119730462,0.9158145565839126,0.8294986486434937,0.07052364200353622,
instruction_heldout,motion_suite_task,3,604,146,83,20,0.98414005186392,0.960058501160435,0.9163534641265869,0.03647621348500252,
instruction_heldout,fixed_top20_sae,3,604,146,83,20,0.22066387996051742,0.2930813501189004,0.06344115734100342,0.1737499237060547,
instruction_heldout,nested_top20_sae,3,604,146,83,20,0.5694182492943733,0.5968478869360188,0.3025311827659607,0.1341610550880432,"f6629,f9900,f8132,f1462,f14254,f12732,f11686,f13452,f4823,f6676,f1021,f1642,f15371,f1781,f785,f15020,f3399,f10083,f9090,f8857"
instruction_heldout,full_sae,3,604,146,83,20,0.5775731927159149,0.5935052844330833,0.18824195861816406,0.12915925681591034,
instruction_heldout,raw_pca20,3,604,146,83,20,0.6715914896898769,0.6933559770796516,0.44339215755462646,0.1068510189652443,
instruction_heldout,suite_only,4,568,182,83,20,0.4747349901966747,0.5726550846348869,0.32429254055023193,0.150437131524086,
instruction_heldout,motion,4,568,182,83,20,0.8126423888583113,0.9605458907205366,0.9168940186500549,0.054530829191207886,
instruction_heldout,motion_suite_task,4,568,182,83,20,0.9857155795929458,0.989851333773505,0.979545533657074,0.019717086106538773,
instruction_heldout,fixed_top20_sae,4,568,182,83,20,0.3793144001780897,0.3817692014606041,0.1025313138961792,0.1839081197977066,
instruction_heldout,nested_top20_sae,4,568,182,83,20,0.48325443076247093,0.6722247867970697,0.44037842750549316,0.1392579823732376,"f6629,f9900,f8132,f4823,f14254,f1462,f11686,f13452,f2751,f12732,f1781,f15020,f1642,f6676,f4933,f1021,f4022,f15371,f9366,f1234"
instruction_heldout,full_sae,4,568,182,83,20,0.7572882691984222,0.7807076349536527,0.5958141088485718,0.11663305014371872,
instruction_heldout,raw_pca20,4,568,182,83,20,0.6824025535193002,0.8011152492410114,0.6399078369140625,0.11036032438278198,
