feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
random20_high_class_mean_01,True,long,1,clean,22,0,1,1,1,1,1,0.7275781631469727,0.38145768642425537,0.05374972149729729,0.47148290276527405,0.9293286219081273,1,0,0
random20_high_class_mean_01,True,long,6,clean,11,0,1,1,1,1,1,1.0242582559585571,0.5418719053268433,0.06805220991373062,0.6881720423698425,0.9029126213592233,1,0,0
random20_high_class_mean_01,True,long,6,clean,12,0,1,1,1,1,1,1.0242582559585571,0.5418719053268433,0.06805220991373062,0.6881720423698425,0.9029126213592233,1,0,0
random20_high_class_mean_01,True,long,6,clean,14,0,1,1,1,1,1,1.0242582559585571,0.5418719053268433,0.06805220991373062,0.6881720423698425,0.9029126213592233,1,0,0
random20_high_class_mean_01,True,spatial,1,mild,0,0,1,1,1,1,1,0.3785979151725769,0.3055141866207123,0.06965646147727966,0.07174574583768845,0.8058252427184466,1,0,0
random20_high_class_mean_01,True,spatial,1,clean,3,1,1,1,1,1,1,0.3062175214290619,0.27140727639198303,0.06276456266641617,0.025641025975346565,0.7959183673469388,0,0,0
random20_high_class_mean_01,True,spatial,1,clean,4,1,1,1,1,1,1,0.3062175214290619,0.27140727639198303,0.06276456266641617,0.025641025975346565,0.7959183673469388,0,0,0
random20_high_class_mean_01,True,spatial,1,mild,13,0,1,1,1,1,1,0.3785979151725769,0.3055141866207123,0.06965646147727966,0.07174574583768845,0.8058252427184466,1,0,0
random20_high_class_mean_01,True,spatial,1,mild,18,0,1,1,1,1,1,0.3785979151725769,0.3055141866207123,0.06965646147727966,0.07174574583768845,0.8058252427184466,1,0,0
random20_high_class_mean_01,True,spatial,1,mild,19,0,1,1,1,1,1,0.3785979151725769,0.3055141866207123,0.06965646147727966,0.07174574583768845,0.8058252427184466,1,0,0
random20_high_class_mean_01,True,spatial,1,clean,21,1,1,1,1,1,1,0.3062175214290619,0.27140727639198303,0.06276456266641617,0.025641025975346565,0.7959183673469388,0,0,0
random20_high_class_mean_01,True,spatial,1,mild,23,0,1,1,1,1,1,0.3785979151725769,0.3055141866207123,0.06965646147727966,0.07174574583768845,0.8058252427184466,1,0,0
random20_high_class_mean_02,True,goal,5,clean,6,1,1,1,1,1,1,0.3989903926849365,0.3828734755516052,0.07492301613092422,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_02,True,goal,5,strong,7,0,0,1,1,1,1,0.7009094953536987,0.6831259727478027,0.11498168855905533,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_02,True,goal,5,mild,9,0,0,1,1,1,1,0.647519588470459,0.6316412091255188,0.10069950670003891,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_02,True,goal,5,clean,10,1,1,1,1,1,1,0.3989903926849365,0.3828734755516052,0.07492301613092422,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_02,True,goal,5,clean,16,1,1,1,1,1,1,0.3989903926849365,0.3828734755516052,0.07492301613092422,0.0,0.8529411764705882,0,0,0
random20_high_class_mean_02,True,goal,5,strong,17,0,0,1,1,1,1,0.7009094953536987,0.6831259727478027,0.11498168855905533,0.0,0.9333333333333333,0,0,0
random20_high_class_mean_02,True,long,1,clean,1,0,1,1,1,1,1,0.8760887384414673,0.5090600252151489,0.05269512161612511,0.5210084319114685,0.9224806201550387,1,0,0
random20_high_class_mean_02,True,long,1,clean,2,0,1,1,1,1,1,0.8760887384414673,0.5090600252151489,0.05269512161612511,0.5210084319114685,0.9224806201550387,1,0,0
random20_high_class_mean_02,True,long,1,clean,5,0,1,1,1,1,1,0.8760887384414673,0.5090600252151489,0.05269512161612511,0.5210084319114685,0.9224806201550387,1,0,0
random20_high_class_mean_02,True,long,1,clean,8,0,1,1,1,1,1,0.8760887384414673,0.5090600252151489,0.05269512161612511,0.5210084319114685,0.9224806201550387,1,0,0
random20_high_class_mean_02,True,long,1,mild,15,0,1,1,1,1,1,1.1567693948745728,0.31689372658729553,0.03990495577454567,0.9696853160858154,0.9600798403193613,1,0,0
random20_high_class_mean_02,True,long,1,clean,20,0,1,1,1,1,1,0.8760887384414673,0.5090600252151489,0.05269512161612511,0.5210084319114685,0.9224806201550387,1,0,0
random20_high_class_mean_02,True,long,1,clean,22,0,1,1,1,1,1,0.8760887384414673,0.5090600252151489,0.05269512161612511,0.5210084319114685,0.9224806201550387,1,0,0
