condition,n_samples,mean_progress_logit_delta,median_progress_logit_delta,frac_progress_logit_increased,mean_abs_progress_logit_delta
random20_low_samples_to_high_class_mean_trial121,57,0.052416685185106254,0.029675435713932607,0.9298245614035088,0.07195483886207561
random20_low_samples_to_high_class_mean_trial122,57,0.13553789289528,0.15065523454503182,0.8771929824561403,0.14684193214597027
random20_low_samples_to_high_class_mean_trial123,57,0.027577758102032147,0.043906276766097596,0.7368421052631579,0.054299447429851114
random20_low_samples_to_high_class_mean_trial124,57,0.08288579047912065,0.042004871762363116,0.9122807017543859,0.10021872845305321
random20_low_samples_to_high_class_mean_trial125,57,0.09247702516271351,0.10566594077500824,0.9298245614035088,0.11915445030866123
random20_low_samples_to_high_class_mean_trial126,57,0.03303084334980117,0.0565917769395492,0.8070175438596491,0.08371166639929652
random20_low_samples_to_high_class_mean_trial127,57,0.13659845781418714,0.08896543489723285,1.0,0.13659845781418714
random20_low_samples_to_high_class_mean_trial128,57,0.07567947055469011,0.0475223251542678,0.8947368421052632,0.08192231912337468
random20_low_samples_to_high_class_mean_trial129,57,0.01242893318050277,0.01677209253812162,0.8070175438596491,0.0704267846624174
random20_low_samples_to_high_class_mean_trial130,57,0.07284182304828264,0.06376939684620542,0.8596491228070176,0.08985575286548025
random20_low_samples_to_high_class_mean_trial131,57,0.08087769400824793,0.047760446147192326,0.8245614035087719,0.10202791501233578
random20_low_samples_to_high_class_mean_trial132,57,-0.10155906051445977,0.055222718823473294,0.7894736842105263,0.21026557731907883
random20_low_samples_to_high_class_mean_trial133,57,0.11917853218009948,0.04318987588698153,0.8421052631578947,0.12006006203813413
random20_low_samples_to_high_class_mean_trial134,57,0.10029459229614408,0.07221808519029782,0.8947368421052632,0.12431663180073396
random20_low_samples_to_high_class_mean_trial135,57,0.058896898119242785,0.0371898635075798,0.9298245614035088,0.06341305982316078
random20_low_samples_to_high_class_mean_trial136,57,0.1153787169128726,0.10844882523256416,0.9122807017543859,0.1249161678119616
random20_low_samples_to_high_class_mean_trial137,57,0.15299190011347344,0.10736957259233026,0.9473684210526315,0.1774402640415941
random20_low_samples_to_high_class_mean_trial138,57,0.054214388545487525,0.05522244292398559,0.8070175438596491,0.10773902068056448
random20_low_samples_to_high_class_mean_trial139,57,0.13442890378383152,0.11380572024237967,0.9473684210526315,0.1419834431089653
random20_low_samples_to_high_class_mean_trial140,57,0.07973663972870906,0.05914132025618901,0.9824561403508771,0.0812772373478686
random20_low_samples_to_high_class_mean_trial141,57,0.17018809860932474,0.12165031103362622,0.9824561403508771,0.17045796722089834
random20_low_samples_to_high_class_mean_trial142,57,0.10584309769302779,0.09744534283644413,0.9298245614035088,0.11060030120591359
random20_low_samples_to_high_class_mean_trial143,57,0.042603824135716145,0.025785586441480213,0.8421052631578947,0.06368478084170585
random20_low_samples_to_high_class_mean_trial144,57,0.04411647936378102,0.0483456512384679,0.8947368421052632,0.09387325371143082
random20_low_samples_to_high_class_mean_trial145,57,0.11469188946763406,0.09666070523058412,0.8771929824561403,0.1335430648523298
random20_low_samples_to_high_class_mean_trial146,57,0.012942603152604901,0.020849931773422092,0.8771929824561403,0.10672049638408221
random20_low_samples_to_high_class_mean_trial147,57,0.08095367852448888,0.03383411589281771,0.8421052631578947,0.11095571147741222
random20_low_samples_to_high_class_mean_trial148,57,0.04407907184618674,0.05643965211232094,0.8947368421052632,0.07443870154214834
random20_low_samples_to_high_class_mean_trial149,57,0.030840899902162888,-0.016835519775828978,0.45614035087719296,0.12913971843024422
random20_low_samples_to_high_class_mean_trial150,57,0.07230636655944672,0.06291379127731211,0.9473684210526315,0.08165232097838523
random20_low_samples_to_high_class_mean_trial151,57,-0.08024777042314461,0.042920197980270025,0.9122807017543859,0.222751494637895
random20_low_samples_to_high_class_mean_trial152,57,0.026397463835675358,0.027613779588707033,0.9122807017543859,0.04795528925269598
random20_low_samples_to_high_class_mean_trial153,57,0.11576309299333898,0.13722909430639518,0.8771929824561403,0.15402361473153417
random20_low_samples_to_high_class_mean_trial154,57,0.04340194542252116,0.03019104555590779,0.543859649122807,0.0804386720661641
random20_low_samples_to_high_class_mean_trial155,57,0.03532948354463576,0.014917359057231572,0.8245614035087719,0.08471614891915215
random20_low_samples_to_high_class_mean_trial156,57,0.008696827171078525,-0.03829486084062106,0.3333333333333333,0.08778869216905194
random20_low_samples_to_high_class_mean_trial157,57,0.043422880041467604,0.029921458912623322,0.8771929824561403,0.04887808612735407
random20_low_samples_to_high_class_mean_trial158,57,0.128389106169495,0.14047646340604913,0.9122807017543859,0.14459442434899514
random20_low_samples_to_high_class_mean_trial159,57,0.1022065018690003,0.09649208990360769,0.9473684210526315,0.10908988366867912
random20_low_samples_to_high_class_mean_trial160,57,0.02996144686277255,0.04255597550761203,0.7719298245614035,0.058599619195521646
random20_low_samples_to_high_class_mean_trial161,57,0.08827864202301666,0.07945360161936899,0.9298245614035088,0.10291130031071202
random20_low_samples_to_high_class_mean_trial162,57,0.16698357364605973,0.12003031253512653,0.9473684210526315,0.1761425910544666
random20_low_samples_to_high_class_mean_trial163,57,0.05102622487518646,0.013279789290693067,0.9122807017543859,0.05517298469804848
random20_low_samples_to_high_class_mean_trial164,57,0.07599443240012249,0.06355322549894993,0.8947368421052632,0.10535032996000676
random20_low_samples_to_high_class_mean_trial165,57,0.12223567655200823,0.08898090028018402,0.9298245614035088,0.1317360182927581
random20_low_samples_to_high_class_mean_trial166,57,0.0935592433331975,0.03502162216809168,0.9649122807017544,0.09926973325154091
random20_low_samples_to_high_class_mean_trial167,57,0.11398818509398628,0.1226541312744045,0.8421052631578947,0.14302309153296994
random20_low_samples_to_high_class_mean_trial168,57,0.05496117811338917,0.047118918045560676,0.9122807017543859,0.07222967291296484
random20_low_samples_to_high_class_mean_trial169,57,0.07754303480522445,0.05072994053102553,0.9298245614035088,0.08260602386917439
random20_low_samples_to_high_class_mean_trial170,57,-0.07286151175117152,0.08247830229191955,0.8771929824561403,0.2428080255057282
random20_low_samples_to_high_class_mean_trial171,57,0.035582314672529355,0.011292750059802348,0.8245614035087719,0.05269980686053685
random20_low_samples_to_high_class_mean_trial172,57,0.07508246065716188,0.044678516951352165,0.9824561403508771,0.07883218734368444
random20_low_samples_to_high_class_mean_trial173,57,0.0847141880613463,0.034733594483592256,0.9649122807017544,0.0881454840977451
random20_low_samples_to_high_class_mean_trial174,57,0.12631234181435022,0.08595933143670131,0.9473684210526315,0.13024950510066777
random20_low_samples_to_high_class_mean_trial175,57,0.12075220934229504,0.10125126656469963,0.8947368421052632,0.1328549790780913
random20_low_samples_to_high_class_mean_trial176,57,0.010154814296039337,0.08656421745037512,0.8596491228070176,0.20909014136589987
random20_low_samples_to_high_class_mean_trial177,57,0.07404324455300507,0.08498855997925148,0.8421052631578947,0.09498696953714754
random20_low_samples_to_high_class_mean_trial178,57,0.08457928747000312,0.041551015844180306,0.6842105263157895,0.1099431796865907
random20_low_samples_to_high_class_mean_trial179,57,0.04876275185685552,0.013465847535000464,0.9649122807017544,0.05191280823055352
random20_low_samples_to_high_class_mean_trial180,57,0.14043556654002343,0.10167505357072404,0.9473684210526315,0.14170729437714477
random20_low_samples_to_high_class_mean_trial181,57,0.06264988602919314,0.04909541043332144,0.9298245614035088,0.09023654085266382
random20_low_samples_to_high_class_mean_trial182,57,0.07406266118546441,0.05851500346550331,0.8771929824561403,0.11376261761664773
random20_low_samples_to_high_class_mean_trial183,57,0.07693117944268547,0.07311224995459042,0.8596491228070176,0.12195515802981828
random20_low_samples_to_high_class_mean_trial184,57,0.03198273829380906,0.005724550619548907,0.8947368421052632,0.07477288974593448
random20_low_samples_to_high_class_mean_trial185,57,0.05689153949159675,0.010175053224848796,0.8947368421052632,0.06486062684528719
random20_low_samples_to_high_class_mean_trial186,57,0.09266336437129878,0.058671970049587685,0.9298245614035088,0.10731192773247504
random20_low_samples_to_high_class_mean_trial187,57,0.08484807511243364,0.08821115695618431,0.8421052631578947,0.09368587199051874
random20_low_samples_to_high_class_mean_trial188,57,0.06866752930362435,0.07342359092276496,0.9122807017543859,0.09370486450442338
random20_low_samples_to_high_class_mean_trial189,57,0.1725458628495847,0.15269013772701356,0.9473684210526315,0.17710063825659492
random20_low_samples_to_high_class_mean_trial190,57,0.07650016399037556,0.03257349177262725,0.8596491228070176,0.09034247712197575
random20_low_samples_to_high_class_mean_trial191,57,0.12423174265231372,0.12633475003954242,0.8421052631578947,0.14537951395009352
random20_low_samples_to_high_class_mean_trial192,57,0.06856896320045186,0.06357315892266246,0.8771929824561403,0.0962823992375745
random20_low_samples_to_high_class_mean_trial193,57,-0.08862053655902448,0.041002632241810666,0.8596491228070176,0.25733191946883566
random20_low_samples_to_high_class_mean_trial194,57,0.11681713271962374,0.07491655628625882,0.9122807017543859,0.1220857089475686
random20_low_samples_to_high_class_mean_trial195,57,0.09289435392183205,0.07245495412395497,0.8771929824561403,0.10468341388984531
random20_low_samples_to_high_class_mean_trial196,57,0.10276557931622166,0.10066155877506411,0.8245614035087719,0.14680775410025362
random20_low_samples_to_high_class_mean_trial197,57,0.03613751040610403,0.0668110594920619,0.7543859649122807,0.09430526953156781
random20_low_samples_to_high_class_mean_trial198,57,0.07928799770609767,0.050717607256826724,0.8771929824561403,0.087770574521554
random20_low_samples_to_high_class_mean_trial199,57,0.09379400131463811,0.07854851729311108,0.8947368421052632,0.10693231993685999
random20_low_samples_to_high_class_mean_mean,57,0.07770017427835253,0.061664733168559936,0.8803508771929824,0.10628600295718162
