condition,mean_progress_logit_delta,mean_action_shift_l2,mean_translation_shift_l2,mean_rotation_shift_l2,mean_gripper_shift_abs
random20_trial110,0.1058725087556787,0.006210423140856309,0.0053979458808572295,0.0012317051022410308,0.002229788251812765
random20_trial111,0.031229486074960868,0.0067143481921041,0.0060412682806351165,0.0007051135149488858,0.0024787340355508975
random20_trial112,0.07934432796721842,0.0035141561488058817,0.0027904685376863676,0.0011771643784227305,0.0012939447017857018
random20_trial113,0.08072782944256138,0.004664852071307312,0.004439770629791601,0.0008482274298774826,0.0008206668966472604
random20_trial114,0.055117530944223565,0.001486091761724057,0.0013705861324707132,0.00016557626259286454,0.0005004196070889497
random20_trial115,0.16052718800517815,0.008706862537699575,0.007866884283974982,0.0019592257420436867,0.002237605768202718
random20_trial116,0.0573218898395136,0.0038481776659857777,0.003452532661737358,0.000904478841357836,0.001025793924490075
random20_trial117,0.13618259256865672,0.005343314702066617,0.0042852291442033365,0.0006644236458508728,0.0026724733960679834
random20_trial118,0.11643994445094591,0.002329213588808513,0.0020466538969498957,0.000700325654741543,0.0005417715979388951
random20_trial119,0.1383749072419699,0.006247553083319108,0.005574891135733358,0.0011670529762591961,0.0020974394837030594
random20_trial120,0.0525514601731168,0.007486373112074182,0.007068567330122159,0.0013692583333365373,0.001828271989175131
random20_trial121,0.15302674260647506,0.005257720829574463,0.003974035133386618,0.0009842043904073922,0.002950921428914107
random20_trial122,0.05143374867382648,0.006462349023963412,0.00560313085484712,0.0015523483918111049,0.0023587600759712407
random20_trial123,0.05390666139253974,0.007513413031693729,0.006769613876811782,0.0013466262102722597,0.0019554796243165563
random20_trial124,0.08703158842540704,0.003075667376825455,0.0027241933990034164,0.0007112266787887054,0.0008297205452656092
random20_trial125,0.06142270574621951,0.0026519335865183443,0.0021151533310422056,0.000627913930878301,0.001300433852824005
random20_trial126,0.09463907304235666,0.004915081152847292,0.0046166056159553485,0.0008901135605265276,0.0011637997627789768
random20_trial127,0.0688472244278753,0.009091333829391396,0.008207952804576263,0.001407272348105836,0.002840954991411966
random20_trial128,0.1166081848782692,0.004394320792317237,0.003994617614979142,0.0008346851009566808,0.0011246650337904931
random20_trial129,0.11561075969029921,0.004186182015439514,0.0037187052043248796,0.0009243141329782604,0.00128508359592042
random20_trial130,0.09494146336625425,0.002789321478595699,0.0022536841826297036,0.0009403329862297536,0.0009325999246886744
random20_trial131,0.11300906301853599,0.004489837512170099,0.0037839674595795867,0.0010411290132874942,0.0015939087959499119
random20_trial132,0.04502759848889233,0.008169390732089015,0.006966938694081745,0.0017240409916236899,0.00332016712729243
random20_trial133,0.10152221194746866,0.0035931389395090756,0.003447159617584953,0.0005872203054884972,0.0005035800129642326
random20_trial134,0.010985075912149547,0.003451682185946714,0.00295070473539427,0.0008951310858537573,0.0011173020824701313
random20_trial135,0.033521143612947245,0.0044232000222167375,0.004008108827996913,0.0007686629210695129,0.00152239833141711
random20_trial136,0.022546606788349237,0.004811548770162196,0.0042043457740088734,0.0011950089135672377,0.0015872508716406107
random20_trial137,0.1175654161061441,0.007235861236949076,0.006115994360459036,0.0015812337673167416,0.002547563181080222
random20_trial138,0.09407335999053598,0.002904103259555107,0.0026326765985164196,0.0006694102637856475,0.0008213017331405409
random20_trial139,0.13993349268793834,0.004599897558860861,0.00429181577575864,0.0007737049151293245,0.0011939268115722774
random20_trial140,0.09578240627705163,0.004864785569512119,0.004617580701047566,0.0009421477350265823,0.0010134818793669654
random20_trial141,-0.05130457402311858,0.007230551935495109,0.00650662354674177,0.0013050161462419,0.0021954927984451263
random20_trial142,0.07750137160199687,0.002147774940792505,0.0018772635288658885,0.0003024251053488313,0.0006418326569315005
random20_trial143,0.06296050263738409,0.00242757336346853,0.002219858836424044,0.0005336267537028586,0.0006749046993660237
random20_trial144,0.059055311918054625,0.006023716816593332,0.005453759840020856,0.001030848119370479,0.0020289579961037343
random20_trial145,0.06383095313562444,0.0049292816592365115,0.004696644166429281,0.0007500283528903678,0.0009275967887215046
random20_trial146,0.07296598927649085,0.0031891007308032944,0.0030234287483134788,0.0005364311140866254,0.000496144083945655
random20_trial147,0.12995739122159308,0.007525828054016005,0.0065268826990810365,0.000805649230014795,0.003299254571567607
random20_trial148,0.08984440720506572,0.006600222702690342,0.006124374203166914,0.0010279944636132497,0.0015777066382070635
random20_trial149,0.15163736416215615,0.006552145497697151,0.005826973596352745,0.001353379074204072,0.002116301404371318
random20_trial150,0.12957029983874835,0.0021363940182403765,0.001967846376814049,0.0006225194681343134,0.00033240927836036924
random20_trial151,0.11480285055007003,0.007207905409313643,0.006298793259898397,0.0017838558821952817,0.002298199780911168
random20_trial152,0.024935085496502404,0.0038552280416730713,0.0036934171190348207,0.0006616392919959738,0.0008082197917153618
random20_trial153,0.07739742443891856,0.0053985739484041445,0.004588820815418049,0.0012204539706007144,0.002164900057707583
random20_trial154,0.1165051964466558,0.0048862726633998686,0.004245276910599627,0.0009632178206635173,0.001904735132401118
random20_trial155,0.07983062800160401,0.007093549781730484,0.0064499586776733,0.0013763079405390618,0.0021593709309866813
random20_trial156,0.03514643432922389,0.006686737714189949,0.003709068922781657,0.001738911821059503,0.003927075673703247
