episode_id,suite,progress_logit_delta,action_shift_l2,translation_shift_l2,rotation_shift_l2,gripper_shift_abs
rollout_000360,long,0.18683509081851302,0.02602436893267166,0.025533536454316136,0.004017327472539211,0.003027767239781931
rollout_000256,goal,1.225208669249957,0.029291744747060654,0.028297718648668216,0.005717392199362133,0.00495548746809471
rollout_000055,goal,1.590164587616,0.05736333225862454,0.03996484376076212,0.017069188528461315,0.03744336996012876
rollout_000307,long,0.5108618804454637,0.026132600038788246,0.02427846193838994,0.004067190794760308,0.008770805534980441
rollout_000079,goal,1.0724821755663925,0.02345691674726589,0.022701694431673143,0.0055438943355062,0.0020310708544621914
rollout_000711,object,-0.08050144981926366,0.010633968568663544,0.01042029925891835,0.001221860309461411,0.0017336978566269146
rollout_000668,goal,1.0939431541180968,0.026288035189760958,0.025317238997045296,0.004496456111180655,0.005466268027166765
rollout_000296,long,0.5709861908352645,0.03010661006271794,0.027521789080949675,0.005322611402749945,0.010983119006347186
rollout_000526,goal,1.3239235325785295,0.030576210775860462,0.029281937630065067,0.007183807085828857,0.005085834227776198
rollout_000535,object,0.11404911222111247,0.010683455526842304,0.01018951975637116,0.0025987887205786643,0.0018857906337481634
rollout_000463,goal,1.1394586215158293,0.026684762402240464,0.025897476398407754,0.005539214043772047,0.0032732809893466497
rollout_000099,long,0.48602431903176857,0.022007241684841826,0.020785830877368607,0.0042685535661079865,0.00583501257631347
rollout_000409,goal,1.6493965694704489,0.057669399929272454,0.03748126753343727,0.020707057681936633,0.03862812491496603
rollout_000630,goal,0.7316047005493047,0.024199464913010522,0.0216238761094858,0.008095539256792031,0.0072446068367700844
rollout_000029,goal,0.8449074529312055,0.02540042185751656,0.023077633921678522,0.004820401991296551,0.009453463267982909
rollout_000650,goal,1.2635536988601852,0.05635987929227641,0.04052110750484501,0.018233597486056,0.03467004129125395
rollout_000236,spatial,0.42258856902751896,0.019217587980573495,0.018775440622632544,0.003582378994545836,0.001991250350036222
rollout_000368,long,0.42258856902751774,0.019217585248100678,0.01877543763459771,0.003582378884544691,0.0019912523508880398
rollout_000228,long,0.4225885690275186,0.019217588803696194,0.018775441422790005,0.0035823788535818933,0.001991251002947614
