feature_set,suite,task_idx,n,baseline_success_rate,clamped_success_rate,success_delta,baseline_any_violation_rate,clamped_any_violation_rate,any_violation_delta,mean_action_delta_active_l2,mean_action_delta_active_translation_l2,mean_action_delta_active_rotation_l2,mean_action_delta_active_gripper_abs,success_delta_ci95_low,success_delta_ci95_high,any_violation_delta_ci95_low,any_violation_delta_ci95_high,action_delta_active_mean_l2_ci95_low,action_delta_active_mean_l2_ci95_high
random10_high_class_mean_01,object,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.7450985908508301,0.500280037522316,0.045606181025505066,0.3379635289311409,0.0,0.0,0.0,0.0,0.4215207099914551,1.068676471710205
random10_high_class_mean_01,object,5,1,1.0,1.0,0.0,1.0,1.0,0.0,0.19100549817085266,0.11997757107019424,0.026263786479830742,0.09756097197532654,0.0,0.0,0.0,0.0,0.19100549817085266,0.19100549817085266
random10_high_class_mean_01,object,7,1,1.0,1.0,0.0,1.0,1.0,0.0,1.1320443153381348,0.7224470376968384,0.06552407145500183,0.6470588445663452,0.0,0.0,0.0,0.0,1.1320443153381348,1.1320443153381348
random10_high_class_mean_01,object,8,2,0.0,0.0,0.0,1.0,1.0,0.0,0.6759975850582123,0.33679963648319244,0.04282396472990513,0.4249846041202545,0.0,0.0,0.0,0.0,0.16209274530410767,1.189902424812317
random10_high_class_mean_01,spatial,1,2,1.0,1.0,0.0,0.5,1.0,0.5,0.3277035802602768,0.24684937298297882,0.05191262997686863,0.07591632567346096,0.0,0.0,0.0,1.0,0.29827234148979187,0.3571348190307617
random10_high_class_mean_01,spatial,6,2,1.0,1.0,0.0,1.0,0.5,-0.5,0.23795323073863983,0.2121886983513832,0.05886710248887539,0.012195121496915817,0.0,0.0,-1.0,0.0,0.16141167283058167,0.314494788646698
random10_high_class_mean_01,spatial,7,1,0.0,0.0,0.0,1.0,1.0,0.0,0.67230224609375,0.25727856159210205,0.05664057284593582,0.46000000834465027,0.0,0.0,0.0,0.0,0.67230224609375,0.67230224609375
random10_high_class_mean_01,spatial,8,2,0.5,0.5,0.0,1.0,1.0,0.0,0.5609061568975449,0.31740953773260117,0.07186953537166119,0.2769378572702408,0.0,0.0,0.0,0.0,0.28862687945365906,0.8331854343414307
random10_high_class_mean_02,goal,4,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9281380772590637,0.5406846404075623,0.05141008272767067,0.5297315120697021,0.0,0.0,0.0,0.0,0.9281380772590637,0.9281380772590637
random10_high_class_mean_02,goal,5,1,0.0,0.0,0.0,1.0,1.0,0.0,0.5778715014457703,0.5103998184204102,0.0905652567744255,0.06999887526035309,0.0,0.0,0.0,0.0,0.5778715014457703,0.5778715014457703
random10_high_class_mean_02,goal,6,1,1.0,0.0,-1.0,1.0,1.0,0.0,0.5774710178375244,0.3338966369628906,0.03958930820226669,0.2947368323802948,-1.0,-1.0,0.0,0.0,0.5774710178375244,0.5774710178375244
random10_high_class_mean_02,goal,8,1,1.0,1.0,0.0,0.0,1.0,1.0,0.09477046132087708,0.0861148089170456,0.02701447531580925,0.0,0.0,0.0,1.0,1.0,0.09477046132087708,0.09477046132087708
random10_high_class_mean_02,long,0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.7400555610656738,0.46827054023742676,0.0,0.35199999809265137,0.0,0.0,0.0,0.0,0.7400555610656738,0.7400555610656738
random10_high_class_mean_02,long,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.7581551671028137,0.6764070391654968,0.0,0.12399999797344208,0.0,0.0,0.0,0.0,0.7581551671028137,0.7581551671028137
random10_high_class_mean_02,long,2,2,0.0,0.0,0.0,1.0,0.0,-1.0,0.9156414866447449,0.794109582901001,0.0,0.1599999964237213,0.0,0.0,-1.0,-1.0,0.9156414866447449,0.9156414866447449
random10_high_class_mean_02,long,4,1,0.0,0.0,0.0,1.0,1.0,0.0,0.37953558564186096,0.31005144119262695,0.0,0.0892479196190834,0.0,0.0,0.0,0.0,0.37953558564186096,0.37953558564186096
random10_high_class_mean_02,long,6,1,0.0,0.0,0.0,1.0,1.0,0.0,0.850938081741333,0.4892306327819824,0.0,0.527999997138977,0.0,0.0,0.0,0.0,0.850938081741333,0.850938081741333
random10_high_class_mean_02,object,2,2,1.0,0.5,-0.5,1.0,1.0,0.0,0.36781108379364014,0.23848466575145721,0.03951953537762165,0.14372462034225464,-1.0,0.0,0.0,0.0,0.3483414649963379,0.3872807025909424
random10_high_class_mean_02,object,5,1,1.0,1.0,0.0,1.0,1.0,0.0,0.37380659580230713,0.24096038937568665,0.04655285179615021,0.17886178195476532,0.0,0.0,0.0,0.0,0.37380659580230713,0.37380659580230713
random10_high_class_mean_02,object,7,1,1.0,1.0,0.0,1.0,1.0,0.0,0.29253843426704407,0.20042307674884796,0.05046471208333969,0.09900990128517151,0.0,0.0,0.0,0.0,0.29253843426704407,0.29253843426704407
random10_high_class_mean_02,object,8,2,0.0,0.0,0.0,1.0,1.0,0.0,0.6321821138262749,0.32497792318463326,0.04638575669378042,0.4012089669704437,0.0,0.0,0.0,0.0,0.2482534497976303,1.0161107778549194
random10_high_class_mean_02,spatial,1,2,1.0,1.0,0.0,0.5,1.0,0.5,0.33680693805217743,0.25925658643245697,0.05550675839185715,0.07510766573250294,0.0,0.0,0.0,1.0,0.3135531544685364,0.3600607216358185
random10_high_class_mean_02,spatial,6,2,1.0,1.0,0.0,1.0,1.0,0.0,0.25084975361824036,0.22620148956775665,0.059634268283843994,0.012195121496915817,0.0,0.0,0.0,0.0,0.1814415156841278,0.3202579915523529
random10_high_class_mean_02,spatial,7,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9177777171134949,0.2744644582271576,0.06059844791889191,0.7099999785423279,0.0,0.0,0.0,0.0,0.9177777171134949,0.9177777171134949
random10_high_class_mean_02,spatial,8,2,0.5,0.5,0.0,1.0,1.0,0.0,0.7823979258537292,0.371800497174263,0.06900547631084919,0.5208500111475587,0.0,0.0,0.0,0.0,0.30787336826324463,1.2569224834442139
top10_high_class_mean,goal,4,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0933564901351929,0.6339976787567139,0.0564611554145813,0.6197293400764465,0.0,0.0,0.0,0.0,1.0933564901351929,1.0933564901351929
top10_high_class_mean,goal,5,1,0.0,0.0,0.0,1.0,1.0,0.0,0.7192003130912781,0.6759780645370483,0.11301098018884659,0.042001888155937195,0.0,0.0,0.0,0.0,0.7192003130912781,0.7192003130912781
top10_high_class_mean,goal,6,1,1.0,1.0,0.0,1.0,1.0,0.0,0.6133887767791748,0.3735015094280243,0.055078186094760895,0.27368420362472534,0.0,0.0,0.0,0.0,0.6133887767791748,0.6133887767791748
top10_high_class_mean,goal,8,1,1.0,1.0,0.0,0.0,1.0,1.0,0.262890100479126,0.1845702826976776,0.04725546017289162,0.07692307978868484,0.0,0.0,1.0,1.0,0.262890100479126,0.262890100479126
top10_high_class_mean,long,0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.8338645696640015,0.48654597997665405,0.0,0.4440000057220459,0.0,0.0,0.0,0.0,0.8338645696640015,0.8338645696640015
top10_high_class_mean,long,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.8369947671890259,0.7036595344543457,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.8369947671890259,0.8369947671890259
top10_high_class_mean,long,2,2,0.0,0.0,0.0,1.0,1.0,0.0,0.9300025701522827,0.918775737285614,0.0,0.01600000075995922,0.0,0.0,0.0,0.0,0.9300025701522827,0.9300025701522827
top10_high_class_mean,long,4,1,0.0,0.0,0.0,1.0,1.0,0.0,0.35120049118995667,0.305841863155365,0.0,0.05876835808157921,0.0,0.0,0.0,0.0,0.35120049118995667,0.35120049118995667
top10_high_class_mean,long,6,1,0.0,0.0,0.0,1.0,1.0,0.0,0.44363123178482056,0.391776442527771,0.0,0.06400000303983688,0.0,0.0,0.0,0.0,0.44363123178482056,0.44363123178482056
top10_high_class_mean,object,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.6442169025540352,0.39698659256100655,0.03145104832947254,0.3497707098722458,0.0,0.0,0.0,0.0,0.16567851603031158,1.1227552890777588
top10_high_class_mean,object,5,1,1.0,1.0,0.0,1.0,1.0,0.0,0.5750377178192139,0.4389079213142395,0.058676742017269135,0.19512194395065308,0.0,0.0,0.0,0.0,0.5750377178192139,0.5750377178192139
top10_high_class_mean,object,7,1,1.0,1.0,0.0,1.0,1.0,0.0,0.29641661047935486,0.21928256750106812,0.05575738102197647,0.0784313753247261,0.0,0.0,0.0,0.0,0.29641661047935486,0.29641661047935486
top10_high_class_mean,object,8,2,0.0,0.0,0.0,1.0,1.0,0.0,0.29818200320005417,0.16775861755013466,0.040397544391453266,0.15953783504664898,0.0,0.0,0.0,0.0,0.13315077126026154,0.4632132351398468
top10_high_class_mean,spatial,1,2,1.0,0.5,-0.5,0.5,1.0,0.5,0.3694427162408829,0.31030014157295227,0.06728290021419525,0.05142440088093281,-1.0,0.0,0.0,1.0,0.3138761520385742,0.42500928044319153
top10_high_class_mean,spatial,6,2,1.0,1.0,0.0,1.0,0.5,-0.5,0.3152819126844406,0.24035751819610596,0.05950493738055229,0.07059187907725573,0.0,0.0,-1.0,0.0,0.23595058917999268,0.39461323618888855
top10_high_class_mean,spatial,7,1,0.0,0.0,0.0,1.0,0.0,-1.0,1.2273776531219482,0.6202143430709839,0.08366183191537857,0.8199999928474426,0.0,0.0,-1.0,-1.0,1.2273776531219482,1.2273776531219482
top10_high_class_mean,spatial,8,2,0.5,0.5,0.0,1.0,1.0,0.0,0.791022390127182,0.4081783890724182,0.08336396887898445,0.47580467630177736,0.0,0.0,0.0,0.0,0.3901100754737854,1.1919347047805786
