feature_set,is_random_control,suite,task_idx,condition,plan_index,baseline_success,clamped_success,baseline_any_violation,clamped_any_violation,baseline_collision,clamped_collision,action_delta_active_mean_l2,action_delta_active_translation_mean_l2,action_delta_active_rotation_mean_l2,action_delta_active_gripper_mean_abs,action_delta_active_fraction,success_delta,any_violation_delta,collision_delta
random10_high_class_mean_02,True,goal,5,mild,5,0,0,1,1,1,1,0.5778715014457703,0.5103998184204102,0.0905652567744255,0.06999887526035309,0.9333333333333333,0,0,0
random10_high_class_mean_02,True,goal,6,clean,10,1,0,1,1,1,1,0.5774710178375244,0.3338966369628906,0.03958930820226669,0.2947368323802948,0.8260869565217391,-1,0,0
random10_high_class_mean_02,True,goal,8,clean,19,1,1,0,1,0,1,0.09477046132087708,0.0861148089170456,0.02701447531580925,0.0,0.7959183673469388,0,1,1
random10_high_class_mean_02,True,long,0,clean,2,0,0,1,1,0,0,0.7400555610656738,0.46827054023742676,0.0,0.35199999809265137,0.9615384615384616,0,0,0
random10_high_class_mean_02,True,long,0,clean,15,0,0,1,1,0,0,0.7400555610656738,0.46827054023742676,0.0,0.35199999809265137,0.9615384615384616,0,0,0
random10_high_class_mean_02,True,long,1,clean,6,0,0,1,1,0,1,0.7581551671028137,0.6764070391654968,0.0,0.12399999797344208,0.9615384615384616,0,0,1
random10_high_class_mean_02,True,long,2,clean,20,0,0,1,0,1,0,0.9156414866447449,0.794109582901001,0.0,0.1599999964237213,0.9615384615384616,0,-1,-1
random10_high_class_mean_02,True,long,2,clean,22,0,0,1,0,1,0,0.9156414866447449,0.794109582901001,0.0,0.1599999964237213,0.9615384615384616,0,-1,-1
random10_high_class_mean_02,True,long,4,strong,23,0,0,1,1,0,0,0.37953558564186096,0.31005144119262695,0.0,0.0892479196190834,0.9615384615384616,0,0,0
random10_high_class_mean_02,True,long,6,clean,0,0,0,1,1,1,1,0.850938081741333,0.4892306327819824,0.0,0.527999997138977,0.9615384615384616,0,0,0
random10_high_class_mean_02,True,object,2,clean,7,1,1,1,1,1,1,0.3483414649963379,0.20609331130981445,0.0388232059776783,0.1487603336572647,0.8581560283687943,0,0,0
random10_high_class_mean_02,True,object,2,mild,13,1,0,1,1,1,1,0.3872807025909424,0.2708760201931,0.040215864777565,0.13868890702724457,0.8333333333333334,-1,0,0
random10_high_class_mean_02,True,object,5,clean,9,1,1,1,1,0,0,0.37380659580230713,0.24096038937568665,0.04655285179615021,0.17886178195476532,0.8601398601398601,0,0,0
random10_high_class_mean_02,True,object,7,clean,16,1,1,1,1,0,0,0.29253843426704407,0.20042307674884796,0.05046471208333969,0.09900990128517151,0.8347107438016529,0,0,0
random10_high_class_mean_02,True,object,8,strong,11,0,0,1,1,1,1,0.2482534497976303,0.10180077701807022,0.021788200363516808,0.16403794288635254,0.9285714285714286,0,0,0
random10_high_class_mean_02,True,object,8,mild,12,0,0,1,1,1,1,1.0161107778549194,0.5481550693511963,0.07098331302404404,0.6383799910545349,0.9285714285714286,0,0,0
random10_high_class_mean_02,True,spatial,1,clean,1,1,1,1,1,1,1,0.3135531544685364,0.21668434143066406,0.04836243391036987,0.09638553857803345,0.8058252427184466,0,0,0
random10_high_class_mean_02,True,spatial,1,mild,4,1,1,0,1,0,1,0.3600607216358185,0.3018288314342499,0.06265108287334442,0.05382979288697243,0.7849462365591398,0,1,1
random10_high_class_mean_02,True,spatial,6,clean,8,1,1,1,1,1,1,0.3202579915523529,0.2858385443687439,0.06340817362070084,0.024390242993831635,0.803921568627451,0,0,0
random10_high_class_mean_02,True,spatial,6,mild,21,1,1,1,1,1,1,0.1814415156841278,0.1665644347667694,0.05586036294698715,0.0,0.8,0,0,0
