feature_idx,feature_col,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,direction,in_submitted_top20,adjusted_p,significant
1453,f1453,0.31989151063570387,-0.10341446879561587,0.10341446879561587,3.484575117522074e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
11500,f11500,0.31989151063570387,-0.10341446622965546,0.10341446622965546,3.4816642390920745e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
6747,f6747,0.31989151063570387,-0.10341446185884555,0.10341446185884555,3.4767170832987765e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
9836,f9836,0.31989151063570387,-0.10341445998070287,0.10341445998070287,3.4745955998276066e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
11181,f11181,0.31989151063570387,-0.10341445916162825,0.10341445916162825,3.47367121263383e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
8598,f8598,0.31989151063570387,-0.10341445411753851,0.10341445411753851,3.467989401852181e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
10707,f10707,0.31989151063570387,0.10341445087180084,0.10341445087180084,0.0,3.464343125357234e-05,higher_in_high_progress,False,0.38255499280564464,False
8490,f8490,0.31989151063570387,-0.10341444023341538,0.10341444023341538,3.4524454794665425e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
9839,f9839,0.31989151063570387,-0.10341443738791793,0.10341443738791793,3.449277001175426e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
13546,f13546,0.31989151063570387,0.103414434513767,0.103414434513767,0.0,3.446082515206064e-05,higher_in_high_progress,False,0.38255499280564464,False
8564,f8564,0.31989151063570387,0.10341443382881914,0.10341443382881914,0.0,3.445322100231596e-05,higher_in_high_progress,False,0.38255499280564464,False
8187,f8187,0.31989151063570387,0.10341442922424851,0.10341442922424851,0.0,3.440218898368617e-05,higher_in_high_progress,False,0.38255499280564464,False
2374,f2374,0.31989151063570387,0.10341442352426619,0.10341442352426619,0.0,3.433922563302979e-05,higher_in_high_progress,False,0.38255499280564464,False
2831,f2831,0.31989151063570387,-0.10341441261389157,0.10341441261389157,3.421934757460904e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
5391,f5391,0.31989151063570387,0.10341440984862237,0.10341440984862237,0.0,3.418909692938617e-05,higher_in_high_progress,False,0.38255499280564464,False
