trial,n,top20_auroc,top20_pr_auc,welch_fdr_significant_count,max_abs_train_effect,selected_features
72,376,0.7732005432322318,0.7819009410517073,343,0.018160288573856976,"f1369,f3236,f6638,f665,f15198,f13576,f3504,f1215,f4135,f11836,f9712,f13874,f11644,f2830,f11058,f5678,f12441,f4932,f827,f11738"
73,376,0.7677965142598462,0.7894399904251816,366,0.018415902082392167,"f1369,f6638,f15198,f9712,f3504,f665,f1215,f13576,f11836,f4135,f13874,f3236,f4867,f11058,f12441,f4932,f11644,f5678,f7060,f13898"
74,376,0.7787177455862382,0.748660755372187,321,0.01811351151047074,"f6638,f3236,f1369,f3504,f13576,f4135,f13874,f9712,f15198,f1215,f11836,f665,f11644,f2830,f4932,f12441,f5678,f11058,f7060,f13898"
75,376,0.780005092802173,0.765115110971298,352,0.017962513328034484,"f13576,f6638,f1369,f3236,f9712,f4932,f13874,f3504,f665,f4135,f11836,f1215,f15198,f4867,f11644,f13898,f2830,f827,f12441,f11058"
76,376,0.7961040063377094,0.8026899329714547,344,0.017825715298308627,"f15198,f665,f6638,f13576,f13874,f4932,f1369,f3236,f3504,f9712,f4135,f1215,f11836,f11644,f13898,f12441,f11058,f4867,f5678,f7060"
77,376,0.7745444771389769,0.7760396802249232,355,0.01856480143032966,"f1369,f6638,f3504,f1215,f9712,f13874,f11836,f13576,f665,f11644,f3236,f4135,f11058,f12441,f7060,f5678,f827,f15198,f4932,f1219"
78,376,0.7798777727478498,0.8004944888931478,350,0.01860832830673042,"f1369,f6638,f3504,f4135,f3236,f13874,f1215,f9712,f4932,f15198,f11836,f665,f13576,f11644,f12441,f11058,f5678,f827,f2830,f13316"
79,376,0.7779679719330013,0.7780300201227401,357,0.01824676157767941,"f1369,f6638,f13576,f15198,f3504,f4135,f9712,f1215,f4867,f665,f4932,f13874,f3236,f11836,f7060,f11644,f11738,f5678,f12441,f11058"
80,376,0.78607401539158,0.7839133034949242,352,0.018903482898554563,"f6638,f1369,f15198,f4135,f3504,f13874,f9712,f1215,f3236,f11836,f13576,f11058,f12441,f665,f5678,f11644,f1219,f4932,f4867,f827"
81,376,0.7715170891806247,0.7847178431030717,354,0.01883529592800804,"f6638,f1369,f9712,f13874,f3504,f13576,f15198,f3236,f4135,f1215,f11836,f12441,f11644,f665,f4932,f827,f1219,f11058,f4867,f15377"
82,376,0.7975045269352647,0.8204286572636772,332,0.018376387650781142,"f15198,f6638,f1369,f13576,f13874,f3504,f3236,f9712,f4135,f4867,f1215,f2830,f665,f11836,f11058,f11644,f12441,f13898,f4932,f7060"
83,376,0.763014938886374,0.7743238121779703,360,0.01847628794828467,"f1369,f6638,f3236,f13576,f13874,f1215,f11836,f4135,f15198,f665,f3504,f9712,f5678,f11738,f11058,f12441,f11644,f4867,f7060,f4932"
84,376,0.7718990493435942,0.791463098859432,357,0.01781005809143025,"f6638,f665,f4932,f1369,f13576,f15198,f13874,f3236,f4135,f3504,f1215,f9712,f4867,f11836,f13898,f11644,f5678,f11058,f12441,f1219"
