trial,control_type,auroc,pr_auc,selected_features
54,matched_random20,0.7375792213671345,0.669579977055144,"f13288,f4893,f5683,f2309,f13031,f12644,f4823,f3139,f14929,f4616,f12458,f14281,f6220,f10463,f8295,f6236,f13872,f837,f7516,f8571"
55,matched_random20,0.7663252602987777,0.7618251646602405,"f16171,f6856,f11096,f6633,f2227,f5491,f1029,f7724,f8064,f684,f10931,f10580,f15091,f4632,f14187,f11270,f4751,f5308,f6152,f13849"
56,matched_random20,0.6619935491172477,0.6464400271365605,"f10436,f6028,f5006,f1729,f5301,f7662,f13074,f2988,f11382,f995,f5363,f7055,f8011,f4476,f1864,f3184,f3835,f9411,f31,f5035"
57,matched_random20,0.6706371661385242,0.6862029701839009,"f1670,f15564,f7229,f7117,f15696,f10828,f13972,f2052,f7518,f14204,f6432,f4558,f1194,f3845,f9111,f10137,f14210,f11757,f13250,f889"
58,matched_random20,0.5974988682661838,0.5731928525790627,"f13250,f3573,f6061,f8521,f6322,f14725,f4329,f4819,f11108,f13886,f4154,f995,f16331,f11227,f7979,f436,f16343,f13656,f7876,f2403"
59,matched_random20,0.6364022181982798,0.5947703087479159,"f12950,f3573,f9354,f10708,f16235,f8048,f6433,f3978,f5785,f7135,f12126,f14942,f11207,f16062,f12034,f9992,f10351,f602,f15738,f15184"
60,matched_random20,0.7854374151199638,0.7967656587570957,"f15965,f3906,f13018,f7831,f838,f2186,f8824,f10523,f13936,f11912,f3364,f4911,f12274,f16171,f4741,f1170,f8140,f1369,f16134,f4237"
61,matched_random20,0.6457390221819828,0.5961767947497154,"f12246,f3365,f15091,f7831,f1181,f2725,f2502,f13872,f1241,f2926,f15603,f6514,f6161,f7658,f16166,f2954,f1564,f12845,f11543,f10182"
62,matched_random20,0.6227082390221821,0.6207024234868392,"f3259,f3365,f9617,f9523,f7938,f7226,f588,f11881,f13072,f7807,f4338,f12344,f8805,f4737,f4162,f3264,f14663,f13811,f8543,f6618"
63,matched_random20,0.6262873472159348,0.6101838592124474,"f6183,f12387,f5683,f8976,f7842,f11390,f14256,f7325,f583,f5574,f13758,f5827,f3826,f8834,f4334,f2493,f15151,f7673,f7998,f5208"
64,matched_random20,0.629923042100498,0.6322151560145761,"f4242,f5932,f3166,f13067,f13202,f15376,f15122,f10007,f12647,f16000,f6310,f8783,f4807,f8143,f4686,f14142,f14642,f10853,f9169,f8437"
65,matched_random20,0.6467575826165686,0.6028141862972517,"f4725,f16342,f15091,f2786,f1564,f13046,f13702,f15092,f9827,f1211,f16212,f14196,f12059,f10950,f8026,f2367,f16246,f6693,f2806,f6873"
66,matched_random20,0.6393730194658217,0.6035470895401245,"f12047,f16183,f12046,f8521,f6515,f15380,f980,f1181,f1349,f1538,f1604,f6948,f13579,f3897,f4751,f5234,f1812,f13695,f15635,f776"
67,matched_random20,0.8247510185604345,0.7533249270456756,"f13164,f16183,f4205,f5129,f4860,f8346,f13975,f1349,f2864,f13058,f2004,f684,f4220,f8132,f6629,f14507,f2868,f8170,f1603,f3877"
